Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90
207,Marc Guiu,es ESP,FW,Chelsea,19,2006,8,1,257,2.9,0,1,1,0,0,0,1,0,0,0.35,0.35,0,0.35
208,Angus Gunn,sct SCO,GK,Nottingham,29,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Malo Gusto,fr FRA,DFMF,Chelsea,22,2003,34,26,2261,25.1,2,3,5,2,0,0,5,1,0.08,0.12,0.2,0.08,0.2
210,Josko Gvardiol,hr CRO,DF,Manchester City,23,2002,18,16,1372,15.2,2,2,4,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26
211,Viktor Gyokeres,se SWE,FW,Arsenal,27,1998,36,26,2224,24.7,14,1,15,11,3,3,5,0,0.57,0.04,0.61,0.45,0.49
212,Erling Haaland,no NOR,FW,Manchester City,25,2000,35,34,2953,32.8,27,8,35,24,3,4,2,0,0.82,0.24,1.07,0.73,0.98
213,Lewis Hall,eng ENG,DF,Newcastle,20,2004,30,24,2181,24.2,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08
214,Jack Harrison,eng ENG,FW,Leeds United,28,1996,11,1,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Quilindschy Hartman,nl NED,DF,Burnley,23,2001,21,21,1825,20.3,0,5,5,0,0,0,1,0,0,0.25,0.25,0,0.25
216,Jorrel Hato,nl NED,DF,Chelsea,19,2006,22,12,1148,12.8,0,0,0,0,0,0,7,0,0,0,0,0,0
217,Kai Havertz,de GER,FWMF,Arsenal,26,1999,12,7,581,6.5,2,3,5,2,0,0,1,0,0.31,0.46,0.77,0.31,0.77
218,Ayden Heaven,eng ENG,DF,Manchester Utd,18,2006,17,11,924,10.3,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1
219,Jan Paul van Hecke,nl NED,DF,Brighton,25,2000,36,36,3210,35.7,3,3,6,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17
220,Hwang Hee-chan,kr KOR,FWMF,Wolves,29,1996,26,18,1446,16.1,2,2,4,1,1,1,5,0,0.12,0.12,0.25,0.06,0.19
221,George Hemmings,eng ENG,MF,Aston Villa,18,2007,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37,37,3330,37,0,0,0,0,0,0,5,0,0,0,0,0,0
223,Jordan Henderson,eng ENG,MF,Brentford,35,1990,32,22,1919,21.3,1,3,4,1,0,0,6,0,0.05,0.14,0.19,0.05,0.19
224,Rico Henry,jm JAM,DF,Brentford,28,1997,25,14,1328,14.8,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07
225,Mads Hermansen,dk DEN,GK,West Ham,25,2000,18,18,1620,18,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06
226,Aaron Hickey,sct SCO,DFMF,Brentford,23,2002,21,8,691,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0
227,James Hill,eng ENG,DF,Bournemouth,23,2002,29,22,2106,23.4,0,3,3,0,0,0,5,0,0,0.13,0.13,0,0.13
228,Piero Hincapie,ec ECU,DF,Arsenal,23,2002,25,20,1792,19.9,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15
229,Jack Hinshelwood,eng ENG,MF,Brighton,20,2005,27,20,1741,19.3,4,3,7,4,0,0,0,0,0.21,0.16,0.36,0.21,0.36
230,Ki-Jana Hoever,nl NED,MFDF,Wolves,23,2002,8,6,425,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Harry Howell,eng ENG,MF,Brighton,17,2008,3,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Callum Hudson-Odoi,eng ENG,MF,Nottingham,24,2000,30,21,1841,20.5,3,4,7,3,0,0,0,0,0.15,0.2,0.34,0.15,0.34
233,Will Hughes,eng ENG,MF,Crystal Palace,30,1995,31,19,1571,17.5,0,0,0,0,0,0,7,0,0,0,0,0,0
234,Trai Hume,nir NIR,DFMF,Sunderland,23,2002,38,34,3036,33.7,2,1,3,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09
235,Bashir Humphreys,eng ENG,DFMF,Burnley,22,2003,20,17,1578,17.5,0,0,0,0,0,0,6,0,0,0,0,0,0
236,Omari Hutchinson,eng ENG,MF,Nottingham,21,2003,31,17,1688,18.8,1,5,6,1,0,0,1,0,0.05,0.27,0.32,0.05,0.32
237,Igor,br BRA,DF,West Ham,27,1998,4,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Tim Iroegbunam,eng ENG,MF,Everton,22,2003,29,17,1487,16.5,0,2,2,0,0,0,9,0,0,0.12,0.12,0,0.12
239,Andy Irving,sct SCO,MF,West Ham,25,2000,7,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Alexander Isak,se SWE,FW,Liverpool,25,1999,14,8,699,7.8,3,1,4,3,0,0,0,0,0.39,0.13,0.52,0.39,0.52
241,Wilson Isidor,ht HAI,FW,Sunderland,24,2000,32,11,1165,12.9,6,0,6,6,0,0,1,0,0.46,0,0.46,0.46,0.46
242,Alex Iwobi,ng NGA,MF,Fulham,29,1996,29,29,2419,26.9,4,3,7,4,0,0,3,0,0.15,0.11,0.26,0.15,0.26
243,Daniel James,wls WAL,FWMF,Leeds United,27,1997,19,6,559,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Reece James,eng ENG,DFMF,Chelsea,25,1999,29,20,1963,21.8,2,4,6,2,0,0,4,0,0.09,0.18,0.28,0.09,0.28
245,Vitaly Janelt,de GER,MF,Brentford,27,1998,25,15,1443,16,1,4,5,1,0,0,8,0,0.06,0.25,0.31,0.06,0.31
246,Mathias Jensen,dk DEN,MF,Brentford,29,1996,36,26,2247,25,3,1,4,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16
247,Gabriel Jesus,br BRA,FW,Arsenal,28,1997,14,3,429,4.8,3,0,3,3,0,0,3,0,0.63,0,0.63,0.63,0.63
248,Igor Jesus,br BRA,FW,Nottingham,24,2001,37,28,2298,25.5,6,4,10,5,1,1,2,0,0.23,0.16,0.39,0.2,0.35
249,Alex Jimenez,es ESP,DFMF,Bournemouth,20,2005,31,26,2317,25.7,1,0,1,1,0,0,10,0,0.04,0,0.04,0.04,0.04
250,Raul Jimenez,mx MEX,FW,Fulham,34,1991,36,27,2189,24.3,9,3,12,5,4,4,5,0,0.37,0.12,0.49,0.21,0.33
251,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,18,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Joao Pedro,br BRA,FWMF,Chelsea,23,2001,35,31,2661,29.6,15,5,20,15,0,0,5,0,0.51,0.17,0.68,0.51,0.68
253,Joelinton,br BRA,MF,Newcastle,28,1996,27,23,1951,21.7,2,1,3,2,0,0,10,0,0.09,0.05,0.14,0.09,0.14
254,John,br BRA,GK,Nottingham,29,1996,5,5,437,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0
255,Brennan Johnson,wls WAL,MFFW,Tottenham,24,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.3,0,0.3,0.3,0.3
256,Brennan Johnson,wls WAL,MFFW,Crystal Palace,24,2001,18,13,1112,12.4,0,1,1,0,0,0,4,0,0,0.08,0.08,0,0.08
257,Sam Johnstone,eng ENG,GK,Wolves,32,1993,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Curtis Jones,eng ENG,MFDF,Liverpool,24,2001,34,18,1937,21.5,1,2,3,1,0,0,2,0,0.05,0.09,0.14,0.05,0.14
259,Eli Junior Kroupi,fr FRA,MFFW,Bournemouth,19,2006,33,21,1672,18.6,13,0,13,11,2,2,5,0,0.7,0,0.7,0.59,0.59
260,Hamed Junior Traore,ci CIV,MF,Bournemouth,25,2000,1,0,17,0.2,0,1,1,0,0,0,0,0,0,5.29,5.29,0,5.29
261,James Justin,eng ENG,DFMF,Leeds United,27,1998,29,21,1901,21.1,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14
262,Filip Jorgensen,dk DEN,GK,Chelsea,23,2002,5,3,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Ferdi Kadioglu,tr TUR,DFMF,Brighton,25,1999,37,34,3133,34.8,1,0,1,1,0,0,6,0,0.03,0,0.03,0.03,0.03
264,Sasa Kalajdzic,at AUT,FWMF,Wolves,28,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Arnaud Kalimuendo,fr FRA,FW,Nottingham,23,2002,9,0,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Daichi Kamada,jp JPN,MF,Crystal Palace,28,1996,28,22,1902,21.1,0,0,0,0,0,0,3,0,0,0,0,0,0
267,Boubacar Kamara,fr FRA,MF,Aston Villa,25,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.06,0.19,0.26,0.06,0.26
268,Mohamadou Kante,fr FRA,MF,West Ham,19,2005,11,0,75,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0
269,Michael Kayode,it ITA,DF,Brentford,21,2004,37,37,3258,36.2,1,1,2,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06
270,Michael Keane,eng ENG,DF,Everton,32,1993,33,29,2591,28.8,3,1,4,3,0,0,1,1,0.1,0.03,0.14,0.1,0.14
271,Caoimhin Kelleher,ie IRL,GK,Brentford,26,1998,37,37,3330,37,0,0,0,0,0,0,1,0,0,0,0,0,0
272,Milos Kerkez,hu HUN,DF,Liverpool,21,2003,34,27,2257,25.1,2,1,3,2,0,0,4,0,0.08,0.04,0.12,0.08,0.12
273,Kevin,br BRA,MF,Fulham,22,2003,26,9,1041,11.6,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17
274,Abdukodir Khusanov,uz UZB,DF,Manchester City,21,2004,21,15,1432,15.9,0,0,0,0,0,0,2,0,0,0,0,0,0
275,Max Kilman,eng ENG,DF,West Ham,28,1997,21,17,1561,17.3,0,0,0,0,0,0,4,0,0,0,0,0,0
276,Joshua King,eng ENG,MF,Fulham,18,2007,32,15,1308,14.5,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21
277,Antonin Kinsky,cz CZE,GK,Tottenham,22,2003,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0
278,Justin Kluivert,nl NED,MF,Bournemouth,26,1999,20,10,952,10.6,2,0,2,2,0,0,5,0,0.19,0,0.19,0.19,0.19
279,Joe Knight,eng ENG,MF,Brighton,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Randal Kolo Muani,fr FRA,FWMF,Tottenham,26,1998,30,21,1664,18.5,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11
281,Ibrahima Konate,fr FRA,DF,Liverpool,26,1999,36,36,3090,34.3,1,0,1,1,0,0,7,0,0.03,0,0.03,0.03,0.03
282,Ezri Konsa,eng ENG,DF,Aston Villa,27,1997,34,34,3035,33.7,0,0,0,0,0,0,0,1,0,0,0,0,0
283,Charalampos Kostoulas,gr GRE,FW,Brighton,18,2007,21,2,369,4.1,2,1,3,2,0,0,2,0,0.49,0.24,0.73,0.49,0.73
284,Mateo Kovacic,hr CRO,MF,Manchester City,31,1994,6,1,130,1.4,0,1,1,0,0,0,0,0,0,0.69,0.69,0,0.69
285,Emil Krafth,se SWE,DF,Newcastle,30,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Ladislav Krejci,cz CZE,DFMF,Wolves,26,1999,28,27,2356,26.2,2,1,3,2,0,0,5,1,0.08,0.04,0.11,0.08,0.11
287,Mohammed Kudus,gh GHA,MFFW,Tottenham,24,2000,19,19,1535,17.1,2,5,7,2,0,0,3,0,0.12,0.29,0.41,0.12,0.41
288,Jonah Kusi-Asare,se SWE,FW,Fulham,18,2007,7,0,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0
289,Shea Lacey,eng ENG,FW,Manchester Utd,18,2007,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Maxence Lacroix,fr FRA,DF,Crystal Palace,25,2000,35,35,3085,34.3,1,2,3,1,0,0,4,1,0.03,0.06,0.09,0.03,0.09
291,Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32,32,2880,32,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Jamaal Lascelles,eng ENG,DF,Newcastle,31,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Josh Laurent,eng ENG,DFMF,Burnley,30,1995,33,18,1764,19.6,1,0,1,1,0,0,7,1,0.05,0,0.05,0.05,0.05
294,Romeo Lavia,be BEL,MF,Chelsea,21,2004,12,4,382,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Enzo Le Fee,fr FRA,MFFW,Sunderland,25,2000,36,33,2930,32.6,5,6,11,2,3,4,5,0,0.15,0.18,0.34,0.06,0.25
296,Bernd Leno,de GER,GK,Fulham,33,1992,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0
297,Jefferson Lerma,co COL,MFDF,Crystal Palace,30,1994,31,18,1733,19.3,0,2,2,0,0,0,7,0,0,0.1,0.1,0,0.1
298,Rico Lewis,eng ENG,DF,Manchester City,20,2004,11,4,407,4.5,0,1,1,0,0,0,2,0,0,0.22,0.22,0,0.22
299,Keane Lewis-Potter,eng ENG,DFMF,Brentford,24,2001,36,22,1972,21.9,3,3,6,3,0,0,1,0,0.14,0.14,0.27,0.14,0.27
300,Myles Lewis-Skelly,eng ENG,MFDF,Arsenal,18,2006,20,5,709,7.9,0,0,0,0,0,0,3,0,0,0,0,0,0
301,Matthijs de Ligt,nl NED,DF,Manchester Utd,25,1999,13,13,1170,13,1,0,1,1,0,0,0,0,0.08,0,0.08,0.08,0.08
302,Pedro Lima,br BRA,MF,Wolves,19,2006,9,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Victor Lindelof,se SWE,DFMF,Aston Villa,31,1994,17,11,948,10.5,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09
304,Tino Livramento,eng ENG,DF,Newcastle,22,2002,17,14,1328,14.8,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07
305,Sean Longstaff,eng ENG,MF,Leeds United,27,1997,23,10,1011,11.2,2,2,4,2,0,0,2,0,0.18,0.18,0.36,0.18,0.36
306,Fer Lopez,es ESP,MF,Wolves,21,2004,9,2,235,2.6,0,1,1,0,0,0,1,0,0,0.38,0.38,0,0.38
307,Lucas,br BRA,MFDF,Burnley,24,2001,20,15,1409,15.7,0,0,0,0,0,0,1,1,0,0,0,0,0
308,Lorenzo Lucca,it ITA,FW,Nottingham,24,2000,4,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0,0.7,0.7,0.7
309,Florentino Luis,pt POR,MF,Burnley,25,1999,31,25,2105,23.4,0,2,2,0,0,0,6,0,0,0.09,0.09,0,0.09
310,Douglas Luiz,br BRA,MF,Aston Villa,27,1998,13,7,604,6.7,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15
311,Douglas Luiz,br BRA,MF,Nottingham,27,1998,8,5,315,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0
312,Sasa Lukic,rs SRB,MF,Fulham,28,1996,26,20,1734,19.3,1,2,3,1,0,0,9,0,0.05,0.1,0.16,0.05,0.16
313,Ian Maatsen,nl NED,DF,Aston Villa,23,2002,30,17,1605,17.8,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26,1998,37,31,2658,29.5,2,4,6,2,0,0,7,0,0.07,0.14,0.2,0.07,0.2
315,James Maddison,eng ENG,FWMF,Tottenham,28,1996,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Noni Madueke,eng ENG,FWMF,Arsenal,23,2002,26,16,1211,13.5,3,1,4,3,0,0,0,0,0.22,0.07,0.3,0.22,0.3
317,Gabriel Magalhaes,br BRA,DF,Arsenal,27,1997,32,30,2751,30.6,3,4,7,3,0,0,4,0,0.1,0.13,0.23,0.1,0.23
318,Soungoutou Magassa,fr FRA,MF,West Ham,21,2003,22,11,981,10.9,1,0,1,1,0,0,4,0,0.09,0,0.09,0.09,0.09
319,Harry Maguire,eng ENG,DF,Manchester Utd,32,1993,23,19,1653,18.4,1,2,3,1,0,0,3,1,0.05,0.11,0.16,0.05,0.16
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,2005,28,16,1662,18.5,1,2,3,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16
321,Tyrell Malacia,nl NED,DF,Manchester Utd,25,1999,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Donyell Malen,nl NED,FWMF,Aston Villa,26,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,0.55,0.14,0.69,0.55,0.69
323,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,10,10,867,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Reinildo Mandava,mz MOZ,DF,Sunderland,31,1994,25,23,1966,21.8,0,1,1,0,0,0,7,1,0,0.05,0.05,0,0.05
325,Mateus Mane,pt POR,MF,Wolves,17,2007,27,19,1795,19.9,3,1,4,3,0,0,0,0,0.15,0.05,0.2,0.15,0.2
326,Bendito Mantato,eng ENG,MF,Manchester Utd,17,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Solly March,eng ENG,MF,Brighton,31,1994,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Omar Marmoush,eg EGY,FWMF,Manchester City,26,1999,21,8,700,7.8,3,3,6,3,0,0,3,0,0.39,0.39,0.77,0.39,0.77
329,Callum Marshall,nir NIR,FW,West Ham,20,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Gabriel Martinelli,br BRA,FWMF,Arsenal,24,2001,30,11,1081,12,1,4,5,1,0,0,3,0,0.08,0.33,0.42,0.08,0.42
331,Emiliano Martinez,ar ARG,GK,Aston Villa,32,1992,32,32,2835,31.5,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03
332,Lisandro Martinez,ar ARG,DF,Manchester Utd,27,1998,18,13,1233,13.7,0,0,0,0,0,0,0,1,0,0,0,0,0
333,Arthur Masuaku,cd COD,DF,Sunderland,31,1993,3,2,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0
334,Pape Matar Sarr,sn SEN,MF,Tottenham,22,2002,26,13,1398,15.5,2,4,6,2,0,0,3,0,0.13,0.26,0.39,0.13,0.39
335,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28,1997,32,25,2218,24.6,12,0,12,8,4,4,2,0,0.49,0,0.49,0.32,0.32
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,27,1997,31,27,2534,28.2,3,0,3,3,0,0,2,0,0.11,0,0.11,0.11,0.11
337,Eliezer Mayenda,es ESP,FWMF,Sunderland,20,2005,20,8,759,8.4,2,0,2,2,0,0,0,0,0.24,0,0.24,0.24,0.24
338,Ezra Mayers,bb BRB,DF,West Ham,18,2007,6,0,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Noussair Mazraoui,ma MAR,DFMF,Manchester Utd,27,1997,20,11,985,10.9,0,0,0,0,0,0,3,0,0,0,0,0,0
340,Bryan Mbeumo,cm CMR,MFFW,Manchester Utd,25,1999,33,31,2609,29,11,3,14,11,0,0,4,0,0.38,0.1,0.48,0.38,0.48
341,James Mcatee,eng ENG,MF,Nottingham,22,2002,14,2,298,3.3,0,1,1,0,0,0,1,0,0,0.3,0.3,0,0.3
342,John McGinn,sct SCO,MF,Aston Villa,30,1994,30,28,2137,23.7,5,4,9,5,0,0,5,0,0.21,0.17,0.38,0.21,0.38
343,Dwight McNeil,eng ENG,MF,Everton,25,1999,22,14,1168,13,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08
344,Hannibal Mejbri,tn TUN,MF,Burnley,22,2003,27,15,1229,13.7,1,4,5,1,0,0,10,0,0.07,0.29,0.37,0.07,0.37
345,Mikel Merino,es ESP,MFFW,Arsenal,29,1996,22,10,1036,11.5,4,3,7,4,0,0,1,0,0.35,0.26,0.61,0.35,0.61
346,Shumaira Mheuka,eng ENG,FW,Chelsea,17,2007,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Antoni Milambo,nl NED,MF,Brentford,20,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Nikola Milenkovic,rs SRB,DF,Nottingham,27,1997,38,37,3375,37.5,0,0,0,0,0,0,6,0,0,0,0,0,0
349,Lewis Miley,eng ENG,MFDF,Newcastle,19,2006,23,15,1496,16.6,1,4,5,1,0,0,0,0,0.06,0.24,0.3,0.06,0.3
350,James Milner,eng ENG,MF,Brighton,39,1986,20,7,784,8.7,1,1,2,0,1,1,2,0,0.11,0.11,0.23,0,0.11
351,Veljko Milosavljevic,rs SRB,DF,Bournemouth,18,2007,7,4,368,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
352,Tyrone Mings,eng ENG,DF,Aston Villa,32,1993,17,15,1324,14.7,0,0,0,0,0,0,1,0,0,0,0,0,0
353,Yankuba Minteh,gm GAM,MF,Brighton,21,2004,34,26,2391,26.6,3,4,7,3,0,0,3,0,0.11,0.15,0.26,0.11,0.26
354,Tyrick Mitchell,eng ENG,MF,Crystal Palace,25,1999,38,36,3251,36.1,1,2,3,1,0,0,6,0,0.03,0.06,0.08,0.03,0.08
355,Kaoru Mitoma,jp JPN,MFFW,Brighton,28,1997,25,19,1721,19.1,3,1,4,3,0,0,5,0,0.16,0.05,0.21,0.16,0.21
356,Morato,br BRA,DF,Nottingham,24,2001,21,14,1345,14.9,1,0,1,1,0,0,5,0,0.07,0,0.07,0.07,0.07
357,Cristhian Mosquera,es ESP,DF,Arsenal,21,2004,20,9,994,11,0,0,0,0,0,0,4,0,0,0,0,0,0
358,Yerson Mosquera,co COL,DF,Wolves,24,2001,27,24,2136,23.7,0,0,0,0,0,0,12,0,0,0,0,0,0
