Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90
359,Mason Mount,eng ENG,MF,Manchester Utd,26,1999,23,12,1017,11.3,3,0,3,3,0,0,2,0,0.27,0,0.27,0.27,0.27
360,Divine Mukasa,eng ENG,MF,Manchester City,17,2007,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Nordi Mukiele,fr FRA,DF,Sunderland,27,1997,32,32,2784,30.9,3,3,6,3,0,0,5,0,0.1,0.1,0.19,0.1,0.19
362,Romaine Mundle,eng ENG,MF,Sunderland,22,2003,14,2,411,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0
363,Marshall Munetsi,zw ZIM,MFFW,Wolves,29,1996,13,9,875,9.7,1,1,2,1,0,0,2,0,0.1,0.1,0.21,0.1,0.21
364,Rodrigo Muniz,br BRA,FW,Fulham,24,2001,21,10,1000,11.1,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
365,Daniel Munoz,co COL,MF,Crystal Palace,29,1996,29,29,2399,26.7,4,3,7,4,0,0,7,0,0.15,0.11,0.26,0.15,0.26
366,Murillo,br BRA,DF,Nottingham,23,2002,25,25,2130,23.7,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04
367,Alex Murphy,ie IRL,DF,Newcastle,21,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Jacob Murphy,eng ENG,FWMF,Newcastle,30,1995,33,19,1617,18,3,2,5,3,0,0,2,0,0.17,0.11,0.28,0.17,0.28
369,Vitaliy Mykolenko,ua UKR,DF,Everton,26,1999,33,33,2958,32.9,0,1,1,0,0,0,6,0,0,0.03,0.03,0,0.03
370,David Moller Wolfe,no NOR,MFDF,Wolves,23,2002,22,11,1049,11.7,0,2,2,0,0,0,1,0,0,0.17,0.17,0,0.17
371,Iliman Ndiaye,sn SEN,MF,Everton,25,2000,32,32,2778,30.9,6,3,9,4,2,2,2,0,0.19,0.1,0.29,0.13,0.23
372,Dan Ndoye,ch SUI,MF,Nottingham,24,2000,24,14,1173,13,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15
373,Sean Neave,eng ENG,FW,Newcastle,18,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Dan Neil,eng ENG,MF,Sunderland,23,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Reiss Nelson,eng ENG,FWMF,Brentford,25,1999,10,0,126,1.4,0,1,1,0,0,0,0,0,0,0.71,0.71,0,0.71
376,Pedro Neto,pt POR,MFFW,Chelsea,25,2000,34,30,2631,29.2,5,6,11,5,0,0,4,1,0.17,0.21,0.38,0.17,0.38
377,Luca Netz,de GER,DFMF,Nottingham,22,2003,7,3,357,4,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Rio Ngumoha,eng ENG,MF,Liverpool,16,2008,19,5,560,6.2,2,1,3,2,0,0,0,0,0.32,0.16,0.48,0.32,0.48
379,Eddie Nketiah,eng ENG,MF,Crystal Palace,26,1999,12,2,424,4.7,2,0,2,2,0,0,2,0,0.42,0,0.42,0.42,0.42
380,Lukas Nmecha,de GER,FW,Leeds United,26,1998,31,10,1083,12,6,1,7,4,2,3,0,0,0.5,0.08,0.58,0.33,0.42
381,Matheus Nunes,pt POR,DF,Manchester City,26,1998,34,32,2862,31.8,1,5,6,1,0,0,5,0,0.03,0.16,0.19,0.03,0.19
382,Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Trey Nyoni,eng ENG,MF,Liverpool,18,2007,6,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Christian Norgaard,dk DEN,MF,Arsenal,31,1994,7,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Jake O'Brien,ie IRL,DF,Everton,24,2001,37,35,3120,34.7,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06
386,Luke O'Nien,eng ENG,DF,Sunderland,30,1994,12,5,569,6.3,0,1,1,0,0,0,1,1,0,0.16,0.16,0,0.16
387,Nico O'Reilly,eng ENG,DFMF,Manchester City,20,2005,34,29,2646,29.4,5,3,8,5,0,0,5,0,0.17,0.1,0.27,0.17,0.27
388,Matt O'Riley,dk DEN,MF,Brighton,24,2000,6,2,204,2.3,1,0,1,0,1,1,0,0,0.44,0,0.44,0,0
389,Wilson Odobert,fr FRA,MFFW,Tottenham,20,2004,24,10,985,10.9,0,2,2,0,0,0,0,0,0,0.18,0.18,0,0.18
390,Noah Okafor,ch SUI,FWMF,Leeds United,25,2000,28,19,1561,17.3,8,1,9,8,0,0,3,0,0.46,0.06,0.52,0.46,0.52
391,Callum Olusesi,eng ENG,MF,Tottenham,18,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Amadou Onana,be BEL,MF,Aston Villa,23,2001,25,21,1758,19.5,2,0,2,2,0,0,3,0,0.1,0,0.1,0.1,0.1
393,Frank Onyeka,ng NGA,MF,Brentford,27,1998,6,0,92,1,0,1,1,0,0,0,0,0,0,0.98,0.98,0,0.98
394,Nehemiah Oriola,eng ENG,MF,Brighton,18,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Stefan Ortega,de GER,GK,Nottingham,32,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
396,William Osula,dk DEN,FW,Newcastle,21,2003,24,8,819,9.1,7,0,7,7,0,0,0,0,0.77,0,0.77,0.77,0.77
397,Dango Ouattara,bf BFA,MF,Brentford,23,2002,32,25,2276,25.3,7,3,10,7,0,0,5,0,0.28,0.12,0.4,0.28,0.4
398,Pablo,br BRA,MFFW,West Ham,21,2004,14,10,823,9.1,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11
399,Joao Palhinha,pt POR,MF,Tottenham,30,1995,33,23,2198,24.4,5,2,7,5,0,0,8,0,0.2,0.08,0.29,0.2,0.29
400,Cole Palmer,eng ENG,MF,Chelsea,23,2002,26,24,1955,21.7,10,1,11,5,5,6,5,0,0.46,0.05,0.51,0.23,0.28
401,Lucas Paqueta,br BRA,MFFW,West Ham,27,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,0.24,0.06,0.3,0.12,0.18
402,Nathan Patterson,sct SCO,DF,Everton,23,2001,7,3,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Myles Peart-Harris,eng ENG,MF,Brentford,22,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Lucas Perri,br BRA,GK,Leeds United,27,1997,16,16,1440,16,0,0,0,0,0,0,2,0,0,0,0,0,0
405,Dorde Petrovic,rs SRB,GK,Bournemouth,25,1999,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0
406,Jordan Pickford,eng ENG,GK,Everton,31,1994,38,38,3420,38,0,0,0,0,0,0,4,0,0,0,0,0,0
407,Ethan Pinnock,jm JAM,DF,Brentford,32,1993,4,4,318,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0
408,Yeremy Pino,es ESP,MFFW,Crystal Palace,22,2002,34,26,2080,23.1,2,2,4,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17
409,Joel Piroe,sr SUR,FW,Leeds United,25,1999,16,2,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Nick Pope,eng ENG,GK,Newcastle,33,1992,27,27,2416,26.8,0,0,0,0,0,0,2,0,0,0,0,0,0
411,Pedro Porro,es ESP,DF,Tottenham,25,1999,34,32,2796,31.1,1,2,3,1,0,0,10,0,0.03,0.06,0.1,0.03,0.1
412,Freddie Potts,eng ENG,MF,West Ham,21,2003,22,12,1171,13,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08
413,Aaron Ramsdale,eng ENG,GK,Newcastle,27,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0,0,0,0,0
414,Jacob Ramsey,eng ENG,MF,Newcastle,24,2001,28,15,1450,16.1,2,3,5,2,0,0,5,1,0.12,0.19,0.31,0.12,0.31
415,David Raya,es ESP,GK,Arsenal,29,1995,37,37,3330,37,0,0,0,0,0,0,1,0,0,0,0,0,0
416,Rayan,br BRA,MF,Bournemouth,18,2006,15,13,1111,12.3,5,2,7,5,0,0,1,0,0.41,0.16,0.57,0.41,0.57
417,Harrison Reed,eng ENG,MF,Fulham,30,1995,7,1,94,1,1,0,1,1,0,0,0,0,0.96,0,0.96,0.96,0.96
418,Tijjani Reijnders,nl NED,MF,Manchester City,27,1998,28,19,1631,18.1,5,2,7,5,0,0,2,0,0.28,0.11,0.39,0.28,0.39
419,Chadi Riad,ma MAR,DF,Crystal Palace,22,2003,9,6,552,6.1,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16
420,Declan Rice,eng ENG,MF,Arsenal,26,1999,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.12,0.15,0.26,0.12,0.26
421,Chris Richards,us USA,DF,Crystal Palace,25,2000,33,31,2827,31.4,1,0,1,1,0,0,4,0,0.03,0,0.03,0.03,0.03
422,Richarlison,br BRA,FWMF,Tottenham,28,1997,32,20,1964,21.8,11,4,15,11,0,0,5,0,0.5,0.18,0.69,0.5,0.69
423,Chris Rigg,eng ENG,MF,Sunderland,18,2007,18,11,761,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24
424,Patrick Roberts,eng ENG,FWMF,Sunderland,28,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
425,Andy Robertson,sct SCO,DF,Liverpool,31,1994,24,11,1176,13.1,1,0,1,1,0,0,0,0,0.08,0,0.08,0.08,0.08
426,Antonee Robinson,us USA,DFMF,Fulham,27,1997,22,17,1492,16.6,1,0,1,0,1,1,5,0,0.06,0,0.06,0,0
427,Kaden Rodney,eng ENG,DFMF,Crystal Palace,20,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Joe Rodon,wls WAL,DF,Leeds United,27,1997,35,33,2951,32.8,2,0,2,2,0,0,3,0,0.06,0,0.06,0.06,0.06
429,Rodri,es ESP,MF,Manchester City,29,1996,21,17,1511,16.8,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06
430,Guido Rodriguez,ar ARG,MF,West Ham,31,1994,6,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
431,Robin Roefs,nl NED,GK,Sunderland,22,2003,35,35,3150,35,0,0,0,0,0,0,4,0,0,0,0,0,0
432,Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,37,37,3280,36.4,10,6,16,10,0,0,7,0,0.27,0.16,0.44,0.27,0.44
433,Merlin Rohl,de GER,MF,Everton,23,2002,16,6,682,7.6,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13
434,Cristian Romero,ar ARG,DF,Tottenham,27,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24
435,James Rowswell,eng ENG,DF,Tottenham,19,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Georginio Rutter,fr FRA,MFFW,Brighton,23,2002,32,20,1786,19.8,3,3,6,3,0,0,2,0,0.15,0.15,0.3,0.15,0.3
437,Jose Sa,pt POR,GK,Wolves,32,1993,23,23,2070,23,0,0,0,0,0,0,2,0,0,0,0,0,0
438,Noah Sadiki,cd COD,MF,Sunderland,20,2004,33,33,2889,32.1,0,1,1,0,0,0,9,0,0,0.03,0.03,0,0.03
439,Bukayo Saka,eng ENG,FWMF,Arsenal,23,2001,31,25,2222,24.7,7,5,12,6,1,1,2,0,0.28,0.2,0.49,0.24,0.45
440,Mohamed Salah,eg EGY,MF,Liverpool,33,1992,27,23,2146,23.8,7,7,14,6,1,1,1,0,0.29,0.29,0.59,0.25,0.55
441,William Saliba,fr FRA,DF,Arsenal,24,2001,31,30,2614,29,1,0,1,1,0,0,2,0,0.03,0,0.03,0.03,0.03
442,Robert S�nchez,es ESP,GK,Chelsea,27,1997,35,35,3039,33.8,0,1,1,0,0,0,3,1,0,0.03,0.03,0,0.03
443,Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,23,9,876,9.7,0,2,2,0,0,0,0,0,0,0.21,0.21,0,0.21
444,Ibrahim Sangar�,ci CIV,MF,Nottingham,27,1997,28,25,2075,23.1,2,2,4,2,0,0,5,0,0.09,0.09,0.17,0.09,0.17
445,Andrey Santos,br BRA,MF,Chelsea,21,2004,27,13,1260,14,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07
446,Ismaila Sarr,sn SEN,MF,Crystal Palace,27,1998,28,24,2174,24.2,9,1,10,6,3,3,2,0,0.37,0.04,0.41,0.25,0.29
447,Mamadou Sarr,sn SEN,DF,Chelsea,19,2005,3,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
448,Savio,br BRA,MF,Manchester City,21,2004,24,7,833,9.3,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
449,Nicolo Savona,it ITA,DF,Nottingham,22,2003,14,11,1028,11.4,2,0,2,2,0,0,2,0,0.18,0,0.18,0.18,0.18
450,Oliver Scarles,eng ENG,DFMF,West Ham,19,2005,13,9,659,7.3,0,0,0,0,0,0,2,0,0,0,0,0,0
451,Dane Scarlett,eng ENG,FW,Tottenham,21,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Kevin Schade,de GER,MFFW,Brentford,23,2001,35,32,2745,30.5,8,3,11,8,0,1,6,1,0.26,0.1,0.36,0.26,0.36
453,Fabian Schar,ch SUI,DF,Newcastle,33,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0
454,Alex Scott,eng ENG,MF,Bournemouth,21,2003,37,34,2849,31.7,3,1,4,3,0,0,5,0,0.09,0.03,0.13,0.09,0.13
455,Jenson Seelt,nl NED,DF,Sunderland,22,2003,2,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
456,Matz Sels,be BEL,GK,Nottingham,33,1992,31,30,2668,29.6,0,0,0,0,0,0,2,0,0,0,0,0,0
457,Antoine Semenyo,gh GHA,MFFW,Manchester City,25,2000,17,17,1397,15.5,7,1,8,7,0,0,1,0,0.45,0.06,0.52,0.45,0.52
458,Antoine Semenyo,gh GHA,MF,Bournemouth,25,2000,20,20,1798,20,10,3,13,9,1,2,6,0,0.5,0.15,0.65,0.45,0.6
459,Marcos Senesi,ar ARG,DF,Bournemouth,28,1997,37,37,3288,36.5,0,5,5,0,0,0,8,0,0,0.14,0.14,0,0.14
460,Benjamin Sesko,si SVN,FW,Manchester Utd,22,2003,30,17,1643,18.3,11,1,12,11,0,0,2,0,0.6,0.05,0.66,0.6,0.66
461,Ryan Sessegnon,eng ENG,DFMF,Fulham,25,2000,27,20,1823,20.3,3,1,4,3,0,0,0,0,0.15,0.05,0.2,0.15,0.2
462,Luke Shaw,eng ENG,DF,Manchester Utd,30,1995,38,38,3219,35.8,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06
463,Bernardo Silva,pt POR,MF,Manchester City,30,1994,38,34,2872,31.9,2,4,6,2,0,0,10,0,0.06,0.13,0.19,0.06,0.19
464,Jota Silva,pt POR,FW,Nottingham,25,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Xavi Simons,nl NED,MFFW,Tottenham,22,2003,28,19,1755,19.5,2,5,7,2,0,0,5,1,0.1,0.26,0.36,0.1,0.36
466,Adam Smith,eng ENG,DF,Bournemouth,34,1991,22,14,1077,12,0,2,2,0,0,0,3,0,0,0.17,0.17,0,0.17
467,Emile Smith Rowe,eng ENG,MF,Fulham,25,2000,37,22,1923,21.4,3,0,3,3,0,0,1,0,0.14,0,0.14,0.14,0.14
468,Dominic Solanke,eng ENG,FW,Tottenham,27,1997,15,11,1001,11.1,3,0,3,3,0,0,1,0,0.27,0,0.27,0.27,0.27
469,Julio Soler,ar ARG,DF,Bournemouth,20,2005,3,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Oliver Sonne,pe PER,DF,Burnley,24,2000,7,1,169,1.9,1,0,1,1,0,0,0,0,0.53,0,0.53,0.53,0.53
471,Borna Sosa,hr CRO,DFMF,Crystal Palace,27,1998,7,0,101,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0
472,Tomas Soucek,cz CZE,MF,West Ham,30,1995,35,24,2200,24.4,5,0,5,5,0,0,3,1,0.2,0,0.2,0.2,0.2
473,Souza,br BRA,MF,Tottenham,19,2006,4,2,144,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
474,Djed Spence,eng ENG,DFMF,Tottenham,24,2000,30,23,2056,22.8,0,0,0,0,0,0,4,0,0,0,0,0,0
475,Anton Stach,de GER,MF,Leeds United,26,1998,29,28,2370,26.3,5,3,8,5,0,0,3,0,0.19,0.11,0.3,0.19,0.3
476,John Stones,eng ENG,DF,Manchester City,31,1994,9,5,439,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Jorgen Strand Larsen,no NOR,FW,Wolves,25,2000,22,14,1404,15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0,0.06
478,Jorgen Strand Larsen,no NOR,FW,Crystal Palace,25,2000,14,12,903,10,3,0,3,3,0,0,2,0,0.3,0,0.3,0.3,0.3
479,Pascal Struijk,nl NED,DF,Leeds United,25,1999,34,33,2936,32.6,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03
480,Crysencio Summerville,nl NED,MFFW,West Ham,23,2001,31,29,2470,27.4,5,2,7,5,0,0,6,0,0.18,0.07,0.26,0.18,0.26
481,Dominik Szoboszlai,hu HUN,MFDF,Liverpool,24,2000,36,36,3231,35.9,6,7,13,6,0,1,8,1,0.17,0.19,0.36,0.17,0.36
482,Jocelin Ta Bi,ci CIV,MF,Sunderland,20,2005,1,1,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Chemsdine Talbi,ma MAR,MFFW,Sunderland,20,2005,28,16,1561,17.3,4,1,5,4,0,0,0,0,0.23,0.06,0.29,0.23,0.29
484,Ao Tanaka,jp JPN,MF,Leeds United,26,1998,28,14,1315,14.6,2,0,2,2,0,0,1,0,0.14,0,0.14,0.14,0.14
485,James Tarkowski,eng ENG,DF,Everton,32,1992,37,37,3330,37,2,3,5,2,0,0,8,0,0.05,0.08,0.14,0.05,0.14
486,Marcus Tavernier,eng ENG,MF,Bournemouth,26,1999,34,31,2731,30.3,7,4,11,5,2,2,6,0,0.23,0.13,0.36,0.16,0.3
487,Loum Tchaouna,fr FRA,MFFW,Burnley,21,2003,29,14,1272,14.1,2,1,3,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21
488,Jackson Tchatchoua,cm CMR,MFDF,Wolves,23,2001,31,19,1845,20.5,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05
489,Mathys Tel,fr FRA,MFFW,Tottenham,20,2005,31,13,1349,15,4,1,5,4,0,0,1,0,0.27,0.07,0.33,0.27,0.33
490,Kenny Tete,nl NED,DF,Fulham,29,1995,22,21,1791,19.9,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05
491,Igor Thiago,br BRA,FW,Brentford,24,2001,38,37,3282,36.5,22,1,23,14,8,9,7,0,0.6,0.03,0.63,0.38,0.41
492,Malick Thiaw,de GER,DF,Newcastle,23,2001,35,33,2965,32.9,4,0,4,4,0,0,4,0,0.12,0,0.12,0.12,0.12
493,Youri Tielemans,be BEL,MF,Aston Villa,28,1997,25,21,1862,20.7,0,4,4,0,0,0,0,0,0,0.19,0.19,0,0.19
494,Jurrien Timber,nl NED,DF,Arsenal,24,2001,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29
495,Jean-Clair Todibo,fr FRA,DF,West Ham,25,1999,23,22,1814,20.2,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05
496,Sandro Tonali,it ITA,MF,Newcastle,25,2000,35,31,2534,28.2,0,2,2,0,0,0,4,0,0,0.07,0.07,0,0.07
497,Pau Torres,es ESP,DF,Aston Villa,28,1997,21,18,1676,18.6,0,0,0,0,0,0,1,0,0,0,0,0,0
498,Alex Toth,hu HUN,MF,Bournemouth,19,2005,9,2,140,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
499,James Trafford,eng ENG,GK,Manchester City,22,2002,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Adama Traore,es ESP,MF,Fulham,29,1996,15,1,274,3,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Adama Traore,es ESP,FWMF,West Ham,29,1996,9,0,121,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0
502,Bertrand Traore,bf BFA,MFFW,Sunderland,29,1995,12,9,632,7,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14
503,Mike Tresor,be BEL,FWMF,Burnley,26,1999,6,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
504,Kieran Trippier,eng ENG,DF,Newcastle,34,1990,21,18,1586,17.6,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06
505,Leandro Trossard,be BEL,FWMF,Arsenal,30,1994,31,21,2000,22.2,6,6,12,6,0,0,2,0,0.27,0.27,0.54,0.27,0.54
506,Adrien Truffert,fr FRA,DF,Bournemouth,23,2001,38,38,3379,37.5,1,5,6,1,0,0,5,0,0.03,0.13,0.16,0.03,0.16
507,Axel Tuanzebe,cd COD,DF,Burnley,27,1997,14,14,1201,13.3,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07
508,Stefanos Tzimas,gr GRE,FW,Brighton,19,2006,9,1,139,1.5,1,1,2,1,0,0,0,0,0.65,0.65,1.29,0.65,1.29
509,Christantus Uche,ng NGA,FW,Crystal Palace,22,2003,14,0,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
510,Destiny Udogie,it ITA,DFMF,Tottenham,22,2002,20,14,1338,14.9,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07
511,Manuel Ugarte,uy URU,MF,Manchester Utd,24,2001,22,8,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0
512,Lesley Ugochukwu,fr FRA,MF,Burnley,21,2004,35,27,2336,26,3,1,4,3,0,0,3,1,0.12,0.04,0.15,0.12,0.15
513,Enes Unal,tr TUR,FW,Bournemouth,28,1997,23,0,232,2.6,1,0,1,1,0,0,1,0,0.39,0,0.39,0.39,0.39
514,Hakon Valdimarsson,is ISL,GK,Brentford,23,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Virgil van Dijk,nl NED,DF,Liverpool,34,1991,38,38,3420,38,6,0,6,6,0,0,4,0,0.16,0,0.16,0.16,0.16
516,Joel Veltman,nl NED,DF,Brighton,33,1992,24,9,1058,11.8,1,0,1,1,0,0,5,0,0.09,0,0.09,0.09,0.09
517,Micky van de Ven,nl NED,DF,Tottenham,24,2001,35,35,3041,33.8,4,1,5,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15
518,Bart Verbruggen,nl NED,GK,Brighton,22,2002,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0
519,Guglielmo Vicario,it ITA,GK,Tottenham,28,1996,31,31,2790,31,0,0,0,0,0,0,1,0,0,0,0,0,0
520,Kyle Walker,eng ENG,DFMF,Burnley,35,1990,36,35,3096,34.4,0,2,2,0,0,0,9,0,0,0.06,0.06,0,0.06
521,Kyle Walker-Peters,eng ENG,DF,West Ham,28,1997,23,15,1383,15.4,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07
522,Aaron Wan-Bissaka,cd COD,DFMF,West Ham,27,1997,25,23,2081,23.1,0,2,2,0,0,0,4,0,0,0.09,0.09,0,0.09
523,James Ward-Prowse,eng ENG,MF,West Ham,30,1994,5,5,413,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
524,James Ward-Prowse,eng ENG,MF,Burnley,30,1994,13,7,684,7.6,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13
525,Ollie Watkins,eng ENG,FW,Aston Villa,29,1995,37,33,2839,31.5,16,3,19,16,0,0,4,0,0.51,0.1,0.6,0.51,0.6
526,Tom Watson,eng ENG,MF,Brighton,19,2006,6,0,62,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
527,Max Weiss,de GER,GK,Burnley,21,2004,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Danny Welbeck,eng ENG,FW,Brighton,34,1990,37,26,2258,25.1,13,1,14,12,1,3,5,0,0.52,0.04,0.56,0.48,0.52
529,Adam Wharton,eng ENG,MF,Crystal Palace,21,2004,34,29,2552,28.4,1,5,6,1,0,0,6,1,0.04,0.18,0.21,0.04,0.21
530,Ben White,eng ENG,DF,Arsenal,27,1997,12,9,702,7.8,0,1,1,0,0,0,0,0,0,0.13,0.13,0,0.13
531,Mats Wieffer,nl NED,DF,Brighton,25,1999,26,23,1903,21.1,2,3,5,2,0,0,8,0,0.09,0.14,0.24,0.09,0.24
532,Neco Williams,wls WAL,DF,Nottingham,24,2001,37,36,3204,35.6,2,3,5,2,0,0,6,1,0.06,0.08,0.14,0.06,0.14
533,Estevao Willian,br BRA,MF,Chelsea,18,2007,22,12,848,9.4,2,2,4,2,0,0,4,0,0.21,0.21,0.42,0.21,0.42
534,Joe Willock,eng ENG,MF,Newcastle,25,1999,24,10,983,10.9,0,2,2,0,0,0,3,0,0,0.18,0.18,0,0.18
535,Callum Wilson,eng ENG,FW,West Ham,33,1992,32,11,1251,13.9,7,1,8,7,0,0,1,0,0.5,0.07,0.58,0.5,0.58
536,Harry Wilson,wls WAL,MF,Fulham,28,1997,36,32,2673,29.7,10,7,17,10,0,0,7,0,0.34,0.24,0.57,0.34,0.57
537,Ben Winterburn,eng ENG,MF,Bournemouth,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Florian Wirtz,de GER,MF,Liverpool,22,2003,33,27,2378,26.4,5,3,8,5,0,0,1,0,0.19,0.11,0.3,0.19,0.3
539,Yoane Wissa,cd COD,FW,Newcastle,28,1996,19,4,531,5.9,1,1,2,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34
540,Nick Woltemade,de GER,FWMF,Newcastle,23,2002,33,24,1902,21.1,8,3,11,7,1,1,0,0,0.38,0.14,0.52,0.33,0.47
541,Chris Wood,nz NZL,FW,Nottingham,33,1991,15,11,901,10,3,0,3,3,0,0,0,0,0.3,0,0.3,0.3,0.3
542,Freddie Woodman,eng ENG,GK,Liverpool,28,1997,3,2,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Joe Worrall,eng ENG,DF,Burnley,28,1997,11,5,500,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Granit Xhaka,ch SUI,MF,Sunderland,32,1992,34,32,2904,32.3,1,6,7,1,0,0,8,0,0.03,0.19,0.22,0.03,0.22
545,Yehor Yarmoliuk,ua UKR,MF,Brentford,21,2004,37,30,2659,29.5,1,2,3,1,0,0,7,0,0.03,0.07,0.1,0.03,0.1
546,Ryan Yates,eng ENG,MF,Nottingham,27,1997,22,2,617,6.9,0,2,2,0,0,0,3,0,0,0.29,0.29,0,0.29
547,Leny Yoro,fr FRA,DF,Manchester Utd,19,2005,32,18,1740,19.3,0,0,0,0,0,0,1,0,0,0,0,0,0
548,Oleksandr Zinchenko,ua UKR,DF,Nottingham,28,1996,5,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
