Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
222,Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37,0.14,0,0.05,0.14,0,0,0.03,0
223,Jordan Henderson,eng ENG,MF,Brentford,35,1990,21.3,0.28,0,0.61,0.33,0.05,2.25,0.75,0.66
224,Rico Henry,jm JAM,DF,Brentford,28,1997,14.8,0.14,0,1.01,1.15,0.14,1.76,0.47,0.74
225,Mads Hermansen,dk DEN,GK,West Ham,25,2000,18,0,0,0,0.11,0,0,0,0
226,Aaron Hickey,sct SCO,DFMF,Brentford,23,2002,7.7,0.13,0,0.91,1.17,0,0.52,1.04,0.91
227,James Hill,eng ENG,DF,Bournemouth,23,2002,23.4,0.21,0,0.73,0.56,0.09,0.47,1.58,0.85
228,Piero Hincapie,ec ECU,DF,Arsenal,23,2002,19.9,0.1,0,0.9,0.7,0.05,1.66,1.31,1.31
229,Jack Hinshelwood,eng ENG,MF,Brighton,20,2005,19.3,0,0,1.66,0.62,0.1,0.36,0.31,0.67
230,Ki-Jana Hoever,nl NED,MFDF,Wolves,23,2002,4.7,0,0,0.64,0.64,0.21,4.68,1.06,2.34
231,Harry Howell,eng ENG,MF,Brighton,17,2008,1,0,0,0,0,1,4,0,0
232,Callum Hudson-Odoi,eng ENG,MF,Nottingham,24,2000,20.5,0,0,0.59,0.59,0.1,4.44,0.39,0.34
233,Will Hughes,eng ENG,MF,Crystal Palace,30,1995,17.5,0.4,0,1.37,1.43,0,2.57,0.86,0.91
234,Trai Hume,nir NIR,DFMF,Sunderland,23,2002,33.7,0.27,0,0.89,1.13,0.09,2.61,0.74,1.36
235,Bashir Humphreys,eng ENG,DFMF,Burnley,22,2003,17.5,0.34,0,0.8,0.57,0.11,0.97,0.63,0.97
236,Omari Hutchinson,eng ENG,MF,Nottingham,21,2003,18.8,0.05,0,1.22,1.28,0.43,7.07,0.59,0.59
237,Igor,br BRA,DF,West Ham,27,1998,1.2,0,0,0.83,0,0,0,0.83,0
238,Tim Iroegbunam,eng ENG,MF,Everton,22,2003,16.5,0.55,0,1.76,1.21,0,0.18,1.33,2.67
239,Andy Irving,sct SCO,MF,West Ham,25,2000,1.8,0,0,0.56,0,0,6.67,0.56,2.22
240,Alexander Isak,se SWE,FW,Liverpool,25,1999,7.8,0,0,0.64,0.13,0,0.26,0,0.77
241,Wilson Isidor,ht HAI,FW,Sunderland,24,2000,12.9,0.08,0,1.09,0.54,0.78,0,0.16,0.62
242,Alex Iwobi,ng NGA,MF,Fulham,29,1996,26.9,0.11,0,0.3,0.37,0.04,3.27,0.56,0.67
243,Daniel James,wls WAL,FWMF,Leeds United,27,1997,6.2,0,0,0.16,1.29,0.16,8.06,0.16,0.81
244,Reece James,eng ENG,DFMF,Chelsea,25,1999,21.8,0.18,0,1.19,1.01,0.05,5.78,1.47,1.51
245,Vitaly Janelt,de GER,MF,Brentford,27,1998,16,0.5,0,1.25,0.81,0,3.81,1.69,1.06
246,Mathias Jensen,dk DEN,MF,Brentford,29,1996,25,0.12,0,0.8,0.6,0.08,4.96,0.84,0.92
247,Gabriel Jesus,br BRA,FW,Arsenal,28,1997,4.8,0.63,0,1.88,0.21,1.46,0,0.42,0
248,Igor Jesus,br BRA,FW,Nottingham,24,2001,25.5,0.08,0,1.65,1.57,0.43,0.39,0.08,0.63
249,Alex Jimenez,es ESP,DFMF,Bournemouth,20,2005,25.7,0.39,0,1.36,0.78,0,1.98,1.05,1.75
250,Raul Jimenez,mx MEX,FW,Fulham,34,1991,24.3,0.21,0,1.89,1.4,0.82,0.29,0.29,0.82
251,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,18,2006,0.1,0,0,0,10,0,0,0,0
252,Joao Pedro,br BRA,FWMF,Chelsea,23,2001,29.6,0.17,0,1.28,1.86,0.54,0.61,0.2,0.57
253,Joelinton,br BRA,MF,Newcastle,28,1996,21.7,0.46,0,2.12,1.24,0.05,0.51,1.29,1.06
254,John,br BRA,GK,Nottingham,29,1996,4.9,0.2,0,0,0,0,0,0,0
255,Brennan Johnson,wls WAL,MFFW,Tottenham,24,2001,6.8,0.29,0,0.29,0.59,1.18,3.38,0.29,1.32
256,Brennan Johnson,wls WAL,MFFW,Crystal Palace,24,2001,12.4,0.32,0,1.45,0.89,0.48,3.63,0.16,0.56
257,Sam Johnstone,eng ENG,GK,Wolves,32,1993,12,0,0,0,0,0,0,0,0.08
258,Curtis Jones,eng ENG,MFDF,Liverpool,24,2001,21.5,0.09,0,0.79,1.35,0,0.74,0.84,1.07
259,Eli Junior Kroupi,fr FRA,MFFW,Bournemouth,19,2006,18.6,0.27,0,1.45,0.65,0.32,0.54,0.48,0.32
260,Hamed Junior Traore,ci CIV,MF,Bournemouth,25,2000,0.2,0,0,0,0,0,5,0,0
261,James Justin,eng ENG,DFMF,Leeds United,27,1998,21.1,0.19,0,0.62,1.47,0.09,1.8,1.23,1.8
262,Filip Jorgensen,dk DEN,GK,Chelsea,23,2002,4.2,0,0,0,0,0,0,0.24,0
263,Ferdi Kadioglu,tr TUR,DFMF,Brighton,25,1999,34.8,0.17,0,0.63,1.03,0.2,3.13,0.72,1.12
264,Sasa Kalajdzic,at AUT,FWMF,Wolves,28,1997,0.2,0,0,0,0,0,0,5,0
265,Arnaud Kalimuendo,fr FRA,FW,Nottingham,23,2002,1.1,0,0,1.82,0,0.91,1.82,0,0.91
266,Daichi Kamada,jp JPN,MF,Crystal Palace,28,1996,21.1,0.14,0,1.42,1.33,0.05,1.99,0.66,1.66
267,Boubacar Kamara,fr FRA,MF,Aston Villa,25,1999,15.7,0.32,0,1.02,1.91,0,0.13,0.96,1.02
268,Mohamadou Kante,fr FRA,MF,West Ham,19,2005,0.8,2.5,0,5,1.25,0,0,0,5
269,Michael Kayode,it ITA,DF,Brentford,21,2004,36.2,0.22,0,0.72,1.38,0.03,1.55,1.08,1.3
270,Michael Keane,eng ENG,DF,Everton,32,1993,28.8,0.03,0.03,0.56,0.21,0,0.03,1.28,0.83
271,Caoimhin Kelleher,ie IRL,GK,Brentford,26,1998,37,0.03,0,0.08,0.16,0,0,0.03,0
272,Milos Kerkez,hu HUN,DF,Liverpool,21,2003,25.1,0.16,0,0.88,1.2,0.16,3.15,0.6,1.04
273,Kevin,br BRA,MF,Fulham,22,2003,11.6,0.09,0,1.21,1.47,0.26,3.71,0.78,0.86
274,Abdukodir Khusanov,uz UZB,DF,Manchester City,21,2004,15.9,0.13,0,0.88,0.38,0,0.19,1.82,1.26
275,Max Kilman,eng ENG,DF,West Ham,28,1997,17.3,0.23,0,0.92,0.12,0,0.12,0.35,0.46
276,Joshua King,eng ENG,MF,Fulham,18,2007,14.5,0.28,0,0.9,2.07,0.21,0.83,0.21,0.83
277,Antonin Kinsky,cz CZE,GK,Tottenham,22,2003,7,0.14,0,0,0.14,0,0,0,0
278,Justin Kluivert,nl NED,MF,Bournemouth,26,1999,10.6,0.47,0,1.7,0.94,0.09,3.77,0.38,0.66
279,Joe Knight,eng ENG,MF,Brighton,19,2005,0,0,0,0,0,0,0,0,0
280,Randal Kolo Muani,fr FRA,FWMF,Tottenham,26,1998,18.5,0.16,0,2.22,0.92,0.16,0.97,0.11,0.86
281,Ibrahima Konate,fr FRA,DF,Liverpool,26,1999,34.3,0.2,0,0.96,1.2,0,0.09,0.82,0.9
282,Ezri Konsa,eng ENG,DF,Aston Villa,27,1997,33.7,0,0.03,0.33,1.25,0,0.15,0.65,0.24
283,Charalampos Kostoulas,gr GRE,FW,Brighton,18,2007,4.1,0.49,0,1.71,1.71,0.98,1.46,0.24,1.46
284,Mateo Kovacic,hr CRO,MF,Manchester City,31,1994,1.4,0,0,0,1.43,0,0,1.43,0.71
285,Emil Krafth,se SWE,DF,Newcastle,30,1994,0.5,0,0,2,0,0,2,0,0
286,Ladislav Krejci,cz CZE,DFMF,Wolves,26,1999,26.2,0.19,0.04,1.26,0.27,0,0.65,1.22,0.8
287,Mohammed Kudus,gh GHA,MFFW,Tottenham,24,2000,17.1,0.18,0,1.35,0.88,0.58,7.13,0.18,0.99
288,Jonah Kusi-Asare,se SWE,FW,Fulham,18,2007,0.6,1.67,0,6.67,3.33,0,0,0,1.67
289,Shea Lacey,eng ENG,FW,Manchester Utd,18,2007,0.5,0,0,4,4,0,0,0,0
290,Maxence Lacroix,fr FRA,DF,Crystal Palace,25,2000,34.3,0.12,0.03,0.99,0.55,0,0.15,1.31,1.11
291,Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32,0,0,0,0.13,0,0,0,0.03
292,Jamaal Lascelles,eng ENG,DF,Newcastle,31,1993,0.2,0,0,0,0,0,0,0,0
293,Josh Laurent,eng ENG,DFMF,Burnley,30,1995,19.6,0.36,0.05,1.58,0.56,0.1,0.71,1.43,1.28
294,Romeo Lavia,be BEL,MF,Chelsea,21,2004,4.2,0,0,1.9,1.9,0,0.24,1.19,1.67
295,Enzo Le Fee,fr FRA,MFFW,Sunderland,25,2000,32.6,0.15,0,0.95,1.13,0.12,3.01,0.86,1.72
296,Bernd Leno,de GER,GK,Fulham,33,1992,38,0.08,0,0,0.16,0,0,0.03,0.03
297,Jefferson Lerma,co COL,MFDF,Crystal Palace,30,1994,19.3,0.36,0,1.3,1.24,0,0.62,1.3,0.93
298,Rico Lewis,eng ENG,DF,Manchester City,20,2004,4.5,0.44,0,1.11,2,0,0.44,1.56,0.89
299,Keane Lewis-Potter,eng ENG,DFMF,Brentford,24,2001,21.9,0.05,0,0.68,1.64,0.14,3.15,0.46,0.64
300,Myles Lewis-Skelly,eng ENG,MFDF,Arsenal,18,2006,7.9,0.38,0,1.27,2.03,0.13,0,0.63,0.63
301,Matthijs de Ligt,nl NED,DF,Manchester Utd,25,1999,13,0,0,0.46,0.38,0,0.31,0.85,1
302,Pedro Lima,br BRA,MF,Wolves,19,2006,2.9,0,0,2.07,0.34,0,3.45,1.38,1.72
303,Victor Lindelof,se SWE,DFMF,Aston Villa,31,1994,10.5,0,0,0.19,0,0,0,0.76,0.29
304,Tino Livramento,eng ENG,DF,Newcastle,22,2002,14.8,0.07,0,0.47,1.08,0.14,2.43,0.14,0.95
305,Sean Longstaff,eng ENG,MF,Leeds United,27,1997,11.2,0.18,0,1.16,1.52,0.09,4.82,1.07,2.14
306,Fer Lopez,es ESP,MF,Wolves,21,2004,2.6,0.38,0,2.31,1.54,0,1.54,0,0.38
307,Lucas,br BRA,MFDF,Burnley,24,2001,15.7,0.06,0.06,0.96,0.25,0.32,3.57,1.21,1.4
308,Lorenzo Lucca,it ITA,FW,Nottingham,24,2000,1.4,0,0,0.71,1.43,1.43,0,0.71,0
309,Florentino Luis,pt POR,MF,Burnley,25,1999,23.4,0.26,0,1.71,0.34,0.04,0.47,1.71,2.09
310,Douglas Luiz,br BRA,MF,Aston Villa,27,1998,6.7,0.15,0,1.34,1.49,0,4.18,1.04,1.64
311,Douglas Luiz,br BRA,MF,Nottingham,27,1998,3.5,0.57,0,1.14,1.43,0,4.29,2,0.86
312,Sasa Lukic,rs SRB,MF,Fulham,28,1996,19.3,0.47,0,2.75,1.3,0.1,3.52,0.83,1.45
313,Ian Maatsen,nl NED,DF,Aston Villa,23,2002,17.8,0.11,0,0.96,1.07,0.06,3.03,1.01,1.74
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26,1998,29.5,0.24,0,1.19,1.08,0,0.68,0.61,0.92
315,James Maddison,eng ENG,FWMF,Tottenham,28,1996,0.4,0,0,2.5,2.5,0,15,0,2.5
316,Noni Madueke,eng ENG,FWMF,Arsenal,23,2002,13.5,0,0,1.11,1.11,0.3,5.93,0.37,0.74
317,Gabriel Magalhaes,br BRA,DF,Arsenal,27,1997,30.6,0.13,0,0.69,1.11,0,0.2,0.72,0.65
318,Soungoutou Magassa,fr FRA,MF,West Ham,21,2003,10.9,0.37,0,1.56,1.56,0,0.83,1.56,2.11
319,Harry Maguire,eng ENG,DF,Manchester Utd,32,1993,18.4,0.16,0.05,0.87,0.87,0,0.22,0.65,0.92
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,2005,18.5,0.11,0,0.65,1.19,0.05,0.7,1.03,1.08
321,Tyrell Malacia,nl NED,DF,Manchester Utd,25,1999,0.2,0,0,0,0,0,0,0,5
322,Donyell Malen,nl NED,FWMF,Aston Villa,26,1999,7.3,0,0,0.27,0.82,0.14,0.96,0,0.27
323,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,9.6,0,0,0.1,0.21,0,0,0.1,0.1
324,Reinildo Mandava,mz MOZ,DF,Sunderland,31,1994,21.8,0.32,0.05,1.47,1.61,0.05,1.06,1.33,1.06
325,Mateus Mane,pt POR,MF,Wolves,17,2007,19.9,0,0,1.31,2.36,0.1,4.72,0.25,0.65
326,Bendito Mantato,eng ENG,MF,Manchester Utd,17,2008,0.2,0,0,0,0,0,5,0,0
327,Solly March,eng ENG,MF,Brighton,31,1994,0.5,0,0,0,2,0,8,0,4
328,Omar Marmoush,eg EGY,FWMF,Manchester City,26,1999,7.8,0.38,0,1.28,2.69,0.77,1.54,0.26,1.03
329,Callum Marshall,nir NIR,FW,West Ham,20,2004,0.7,0,0,0,0,1.43,0,2.86,0
330,Gabriel Martinelli,br BRA,FWMF,Arsenal,24,2001,12,0.25,0,0.83,1.17,0.42,3.08,0.08,0.67
331,Emiliano Martinez,ar ARG,GK,Aston Villa,32,1992,31.5,0.06,0,0,0.54,0,0,0,0
332,Lisandro Martinez,ar ARG,DF,Manchester Utd,27,1998,13.7,0,0.07,0.66,0.15,0,0.15,0.88,0.8
333,Arthur Masuaku,cd COD,DF,Sunderland,31,1993,1.4,0.71,0,2.14,0,0,5.71,1.43,1.43
334,Pape Matar Sarr,sn SEN,MF,Tottenham,22,2002,15.5,0.19,0,1.87,0.84,0.19,0.52,0.9,1.35
335,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28,1997,24.6,0.08,0,0.85,0.77,0.73,0.45,0.24,0.16
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,27,1997,28.2,0.07,0,0.57,0.32,0.07,0.14,1.67,0.85
337,Eliezer Mayenda,es ESP,FWMF,Sunderland,20,2005,8.4,0,0,0.71,1.31,0.36,0.12,0.12,0.36
338,Ezra Mayers,bb BRB,DF,West Ham,18,2007,1.3,0,0,0,0,0,2.31,0.77,0
339,Noussair Mazraoui,ma MAR,DFMF,Manchester Utd,27,1997,10.9,0.28,0,1.1,1.28,0,1.19,1.01,1.38
340,Bryan Mbeumo,cm CMR,MFFW,Manchester Utd,25,1999,29,0.14,0,0.79,0.97,0.24,3.62,0.24,0.38
341,James Mcatee,eng ENG,MF,Nottingham,22,2002,3.3,0.3,0,1.21,1.52,0.61,2.73,0.91,1.21
342,John McGinn,sct SCO,MF,Aston Villa,30,1994,23.7,0.21,0,1.31,2.03,0,3.46,0.51,0.72
343,Dwight McNeil,eng ENG,MF,Everton,25,1999,13,0.08,0,0.85,0.54,0.15,3.08,0.77,1.23
344,Hannibal Mejbri,tn TUN,MF,Burnley,22,2003,13.7,0.73,0,1.68,3.36,0.22,2.19,0.51,1.24
345,Mikel Merino,es ESP,MFFW,Arsenal,29,1996,11.5,0.09,0,1.91,1.74,0.26,0.35,0.78,1.13
346,Shumaira Mheuka,eng ENG,FW,Chelsea,17,2007,0,0,0,0,0,0,0,0,0
347,Antoni Milambo,nl NED,MF,Brentford,20,2005,0.5,0,0,0,0,0,0,0,2
348,Nikola Milenkovic,rs SRB,DF,Nottingham,27,1997,37.5,0.16,0,0.56,0.53,0.03,0.05,0.77,0.51
349,Lewis Miley,eng ENG,MFDF,Newcastle,19,2006,16.6,0,0,0.3,0.24,0.12,2.53,1.2,1.08
350,James Milner,eng ENG,MF,Brighton,39,1986,8.7,0.23,0,1.72,0.34,0.11,1.61,0.57,1.03
351,Veljko Milosavljevic,rs SRB,DF,Bournemouth,18,2007,4.1,0,0,0,0,0,0,0.98,0.98
352,Tyrone Mings,eng ENG,DF,Aston Villa,32,1993,14.7,0.07,0,0.68,0.54,0,0.27,0.75,0.14
353,Yankuba Minteh,gm GAM,MF,Brighton,21,2004,26.6,0.11,0,1.2,0.83,0.38,5.98,0.56,1.39
354,Tyrick Mitchell,eng ENG,MF,Crystal Palace,25,1999,36.1,0.17,0,0.66,0.78,0.14,2.88,0.91,1.8
355,Kaoru Mitoma,jp JPN,MFFW,Brighton,28,1997,19.1,0.26,0,1.62,1.1,0.21,2.41,0.42,0.63
356,Morato,br BRA,DF,Nottingham,24,2001,14.9,0.34,0,1.07,0.47,0.07,0.13,0.74,1.21
357,Cristhian Mosquera,es ESP,DF,Arsenal,21,2004,11,0.36,0,1.55,0.64,0.09,0.27,0.73,1.91
358,Yerson Mosquera,co COL,DF,Wolves,24,2001,23.7,0.51,0,1.43,1.86,0.04,0.76,1.05,1.52
359,Mason Mount,eng ENG,MF,Manchester Utd,26,1999,11.3,0.18,0,1.5,1.06,0,1.95,0.8,1.15
360,Divine Mukasa,eng ENG,MF,Manchester City,17,2007,0.3,0,0,3.33,0,0,0,0,0
361,Nordi Mukiele,fr FRA,DF,Sunderland,27,1997,30.9,0.16,0,1.13,0.84,0.1,2.75,1.2,1.46
362,Romaine Mundle,eng ENG,MF,Sunderland,22,2003,4.6,0.22,0,1.52,1.74,0,2.39,0.22,0.87
363,Marshall Munetsi,zw ZIM,MFFW,Wolves,29,1996,9.7,0.21,0,1.96,1.03,0.41,1.44,0.52,1.34
364,Rodrigo Muniz,br BRA,FW,Fulham,24,2001,11.1,0.18,0,1.89,1.62,0.45,0.18,0.18,0.27
365,Daniel Munoz,co COL,MF,Crystal Palace,29,1996,26.7,0.26,0,1.27,0.67,0.3,2.32,0.9,1.8
366,Murillo,br BRA,DF,Nottingham,23,2002,23.7,0.21,0,0.97,0.3,0,0.08,1.22,0.97
367,Alex Murphy,ie IRL,DF,Newcastle,21,2004,0.1,0,0,0,0,0,0,10,0
368,Jacob Murphy,eng ENG,FWMF,Newcastle,30,1995,18,0.11,0,0.5,0.72,0.28,6.94,0.33,0.67
369,Vitaliy Mykolenko,ua UKR,DF,Everton,26,1999,32.9,0.18,0,0.88,0.85,0,2.83,0.82,0.76
370,David Moller Wolfe,no NOR,MFDF,Wolves,23,2002,11.7,0.09,0,0.85,0.34,0,2.74,0.6,0.43
371,Iliman Ndiaye,sn SEN,MF,Everton,25,2000,30.9,0.06,0,0.97,1.2,0.39,1.78,0.55,1.29
372,Dan Ndoye,ch SUI,MF,Nottingham,24,2000,13,0.08,0,1.23,1.69,0.69,3.15,0.77,0.85
373,Sean Neave,eng ENG,FW,Newcastle,18,2007,0.2,0,0,0,0,0,0,0,0
374,Dan Neil,eng ENG,MF,Sunderland,23,2001,0.2,0,0,0,5,0,0,5,0
375,Reiss Nelson,eng ENG,FWMF,Brentford,25,1999,1.4,0,0,0,1.43,0,1.43,0,2.14
376,Pedro Neto,pt POR,MFFW,Chelsea,25,2000,29.2,0.14,0.03,0.58,0.86,0.21,6.3,0.21,0.38
377,Luca Netz,de GER,DFMF,Nottingham,22,2003,4,0,0,1.25,0.5,0,0.5,0.25,2
378,Rio Ngumoha,eng ENG,MF,Liverpool,16,2008,6.2,0,0,0.65,1.94,0,3.55,0.48,0.32
379,Eddie Nketiah,eng ENG,MF,Crystal Palace,26,1999,4.7,0.43,0,1.49,1.49,0.64,0,0.43,1.28
380,Lukas Nmecha,de GER,FW,Leeds United,26,1998,12,0,0,1.5,1.5,0.25,0.83,0.25,0.58
381,Matheus Nunes,pt POR,DF,Manchester City,26,1998,31.8,0.16,0,0.53,0.94,0.13,2.11,0.91,1.29
382,Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,1.9,0,0,1.05,0,0,1.05,0,0
383,Trey Nyoni,eng ENG,MF,Liverpool,18,2007,0.3,0,0,3.33,0,3.33,0,0,0
384,Christian Norgaard,dk DEN,MF,Arsenal,31,1994,1.2,0,0,2.5,0,0,0.83,0.83,1.67
385,Jake O'Brien,ie IRL,DF,Everton,24,2001,34.7,0.17,0.03,0.66,0.49,0.12,1.41,0.37,0.92
386,Luke O'Nien,eng ENG,DF,Sunderland,30,1994,6.3,0.16,0.16,1.11,1.27,0,1.11,0.95,0.95
387,Nico O'Reilly,eng ENG,DFMF,Manchester City,20,2005,29.4,0.17,0,1.53,0.61,0.03,1.29,0.68,1.22
388,Matt O'Riley,dk DEN,MF,Brighton,24,2000,2.3,0,0,0.87,0.43,0.43,2.61,0,0.87
389,Wilson Odobert,fr FRA,MFFW,Tottenham,20,2004,10.9,0,0,0.18,0.92,0.18,2.57,0,0.73
390,Noah Okafor,ch SUI,FWMF,Leeds United,25,2000,17.3,0.17,0,1.04,0.81,0,2.08,0.69,0.87
391,Callum Olusesi,eng ENG,MF,Tottenham,18,2007,0.2,0,0,0,0,0,0,0,0
392,Amadou Onana,be BEL,MF,Aston Villa,23,2001,19.5,0.15,0,1.03,1.28,0,0,0.97,1.54
393,Frank Onyeka,ng NGA,MF,Brentford,27,1998,1,0,0,3,3,0,0,0,0
394,Nehemiah Oriola,eng ENG,MF,Brighton,18,2007,0,0,0,0,0,0,0,0,0
395,Stefan Ortega,de GER,GK,Nottingham,32,1992,3,0,0,0,0,0,0,0,0
396,William Osula,dk DEN,FW,Newcastle,21,2003,9.1,0,0,2.64,1.76,0.22,0.33,0.11,0.55
397,Dango Ouattara,bf BFA,MF,Brentford,23,2002,25.3,0.2,0,1.07,1.54,0.32,4.23,0.95,0.55
398,Pablo,br BRA,MFFW,West Ham,21,2004,9.1,0,0,2.53,0.88,0,0.55,0.55,1.54
399,Joao Palhinha,pt POR,MF,Tottenham,30,1995,24.4,0.33,0,1.15,1.48,0,0.16,1.15,2.5
400,Cole Palmer,eng ENG,MF,Chelsea,23,2002,21.7,0.23,0,0.6,1.71,0.09,1.61,0.6,0.55
401,Lucas Paqueta,br BRA,MFFW,West Ham,27,1997,16.8,0.42,0.06,1.61,1.79,0.3,2.14,0.42,1.31
402,Nathan Patterson,sct SCO,DF,Everton,23,2001,2.7,0,0,0.74,0.74,0.37,2.22,0.74,1.48
403,Myles Peart-Harris,eng ENG,MF,Brentford,22,2002,0,0,0,1,0,0,0,0,0
404,Lucas Perri,br BRA,GK,Leeds United,27,1997,16,0.13,0,0.06,0.19,0,0,0,0
405,Dorde Petrovic,rs SRB,GK,Bournemouth,25,1999,38,0.08,0,0,0.05,0,0,0,0
406,Jordan Pickford,eng ENG,GK,Everton,31,1994,38,0.11,0,0.03,0.16,0,0,0,0.03
407,Ethan Pinnock,jm JAM,DF,Brentford,32,1993,3.5,0.29,0,0,0.57,0,0,1.43,1.43
408,Yeremy Pino,es ESP,MFFW,Crystal Palace,22,2002,23.1,0.17,0,1.3,1.04,0.43,3.42,0.35,0.87
409,Joel Piroe,sr SUR,FW,Leeds United,25,1999,2.9,0,0,1.38,0,0.34,1.38,0.34,0.34
410,Nick Pope,eng ENG,GK,Newcastle,33,1992,26.8,0.07,0,0.04,0.07,0,0,0,0.04
411,Pedro Porro,es ESP,DF,Tottenham,25,1999,31.1,0.32,0,1.03,0.84,0.03,7.46,1,1.61
412,Freddie Potts,eng ENG,MF,West Ham,21,2003,13,0.08,0,1.15,1.08,0,2.62,1.23,1.38
413,Aaron Ramsdale,eng ENG,GK,Newcastle,27,1998,11.2,0.18,0,0,0.09,0,0,0,0
414,Jacob Ramsey,eng ENG,MF,Newcastle,24,2001,16.1,0.31,0.06,0.99,0.87,0.12,0.5,0.56,1.3
415,David Raya,es ESP,GK,Arsenal,29,1995,37,0.03,0,0,0.38,0,0.03,0.03,0.03
416,Rayan,br BRA,MF,Bournemouth,18,2006,12.3,0.08,0,0.73,0.49,0.08,1.95,0.65,0.49
417,Harrison Reed,eng ENG,MF,Fulham,30,1995,1,0,0,2,1,0,4,0,0
418,Tijjani Reijnders,nl NED,MF,Manchester City,27,1998,18.1,0.11,0,1.05,0.83,0.22,2.38,0.61,0.22
419,Chadi Riad,ma MAR,DF,Crystal Palace,22,2003,6.1,0.33,0,0.82,0.49,0,0.98,0.66,0.82
420,Declan Rice,eng ENG,MF,Arsenal,26,1999,34.4,0.09,0,0.76,0.32,0.03,5.15,0.96,0.96
421,Chris Richards,us USA,DF,Crystal Palace,25,2000,31.4,0.13,0,0.54,0.16,0,0.45,1.37,1.11
422,Richarlison,br BRA,FWMF,Tottenham,28,1997,21.8,0.23,0,1.06,1.51,0.46,0.83,0.32,0.73
423,Chris Rigg,eng ENG,MF,Sunderland,18,2007,8.5,0.12,0,0.94,0.94,0.24,1.29,0.47,0.94
424,Patrick Roberts,eng ENG,FWMF,Sunderland,28,1997,0.3,0,0,0,0,0,0,0,0
425,Andy Robertson,sct SCO,DF,Liverpool,31,1994,13.1,0,0,0.31,0.08,0.38,4.05,0.53,0.76
426,Antonee Robinson,us USA,DFMF,Fulham,27,1997,16.6,0.3,0,0.9,0.54,0.12,4.64,1.69,1.87
427,Kaden Rodney,eng ENG,DFMF,Crystal Palace,20,2004,0,0,0,1,0,0,0,0,0
428,Joe Rodon,wls WAL,DF,Leeds United,27,1997,32.8,0.09,0,0.52,0.58,0.03,0.18,0.91,0.58
429,Rodri,es ESP,MF,Manchester City,29,1996,16.8,0.18,0,0.83,1.85,0,0.3,0.71,1.49
430,Guido Rodriguez,ar ARG,MF,West Ham,31,1994,2,0.5,0,1,2,0,1,1,0
431,Robin Roefs,nl NED,GK,Sunderland,22,2003,35,0.11,0,0,0.4,0,0,0,0
432,Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,36.4,0.19,0,1.26,1.35,0.08,1.4,0.36,0.63
433,Merlin Rohl,de GER,MF,Everton,23,2002,7.6,0,0,2.63,0.92,0.26,0.66,0.53,1.71
434,Cristian Romero,ar ARG,DF,Tottenham,27,1998,20.8,0.53,0.1,1.54,0.77,0.05,0.05,1.49,1.44
435,James Rowswell,eng ENG,DF,Tottenham,19,2006,0,0,0,0,0,0,0,0,0
436,Georginio Rutter,fr FRA,MFFW,Brighton,23,2002,19.8,0.1,0,1.52,1.72,0.56,1.01,0.56,0.96
437,Jose Sa,pt POR,GK,Wolves,32,1993,23,0.09,0,0,0.26,0,0,0,0
438,Noah Sadiki,cd COD,MF,Sunderland,20,2004,32.1,0.28,0,0.97,1.25,0.06,0.65,1.03,0.81
439,Bukayo Saka,eng ENG,FWMF,Arsenal,23,2001,24.7,0.08,0,1.34,2.19,0.57,4.94,0.65,0.77
440,Mohamed Salah,eg EGY,MF,Liverpool,33,1992,23.8,0.04,0,0.42,0.67,0.59,4.92,0.13,0.5
441,William Saliba,fr FRA,DF,Arsenal,24,2001,29,0.07,0,0.76,0.55,0.03,0.31,0.52,0.79
442,Robert S�nchez,es ESP,GK,Chelsea,27,1997,33.8,0.09,0.03,0.06,0.38,0,0,0.03,0
443,Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,9.7,0,0,0.31,0.21,0.31,2.37,0.21,0.21
444,Ibrahim Sangar�,ci CIV,MF,Nottingham,27,1997,23.1,0.22,0,1.82,0.78,0,0.35,0.95,1.39
445,Andrey Santos,br BRA,MF,Chelsea,21,2004,14,0.29,0,0.93,1.57,0.07,0.14,1.29,1.5
446,Ismaila Sarr,sn SEN,MF,Crystal Palace,27,1998,24.2,0.08,0,0.5,1.74,0.58,0.99,0.29,0.37
447,Mamadou Sarr,sn SEN,DF,Chelsea,19,2005,1.1,0,0,0,0,0,0,0.91,0
448,Savio,br BRA,MF,Manchester City,21,2004,9.3,0.22,0,0.97,1.61,0.43,4.3,0.54,0.54
449,Nicolo Savona,it ITA,DF,Nottingham,22,2003,11.4,0.18,0,1.05,0.44,0.09,2.37,0.44,1.05
