Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
52,Sander Berge,no NOR,MF,Fulham,27,1998,32.3,0.15,0,1.08,0.43,0.03,0.4,0.8,1.27
53,Lucas Bergvall,se SWE,MF,Tottenham,19,2006,10.7,0.19,0,2.24,0.65,0.28,1.78,0.28,1.31
54,Beto,gw GNB,FW,Everton,27,1998,17.4,0.17,0,1.84,0.69,0.52,0.11,0.06,0.29
55,Jaka Bijol,si SVN,DF,Leeds United,26,1999,21,0.19,0,0.9,0.48,0,0.05,1.05,0.62
56,Yves Bissouma,ml MLI,MF,Tottenham,28,1996,6.7,0.6,0,1.19,0.9,0,0.15,1.19,1.64
57,Marco Bizot,nl NED,GK,Aston Villa,34,1991,6.5,0.31,0,0.15,0.15,0,0,0,0
58,Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,5.2,0.19,0,0.96,1.73,0,0.96,0.58,0.96
59,Oscar Bobb,no NOR,MF,Fulham,22,2003,6.3,0,0,0.63,1.27,0,1.43,0.95,1.11
60,Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,11.7,0.43,0,1.45,1.71,0,0.17,0.34,1.62
61,Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,31,0.19,0,1.26,0.94,0.32,2.16,0.97,1.39
62,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,4.8,0.21,0,1.46,0,0.21,0.21,1.46,0.83
63,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,8.9,0.22,0,0.79,1.12,0,1.69,1.8,1.24
64,Sven Botman,nl NED,DF,Newcastle,25,2000,20.4,0.1,0,0.64,0.93,0.05,0.1,1.23,0.69
65,Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,37.8,0.11,0,0.5,1.3,0.45,3.92,0.71,0.74
66,Conor Bradley,nir NIR,DF,Liverpool,22,2003,10.3,0.49,0,1.75,1.94,0.1,2.23,1.17,1.46
67,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,7.6,0.13,0,0.39,0.13,0.13,0.39,1.45,0.79
68,Brian Brobbey,nl NED,FW,Sunderland,23,2002,21.4,0.28,0,1.54,1.73,0.37,0.09,0,0.09
69,Armando Broja,al ALB,FW,Burnley,23,2001,9.6,0,0,1.46,1.67,0.63,0.31,0.31,0.31
70,David Brooks,wls WAL,MF,Bournemouth,28,1997,13.4,0.52,0,0.82,0.97,0.15,4.4,0.3,0.97
71,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,11.4,0,0,0.09,0,0.35,3.68,0.53,0.26
72,Emi Buendia,ar ARG,MF,Aston Villa,28,1996,19.5,0.31,0,2.1,2.31,0.05,0.51,0.67,1.38
73,Hugo Bueno,es ESP,MFDF,Wolves,22,2002,26.3,0.11,0,0.65,0.91,0.11,6.31,1.25,1.33
74,Santiago Bueno,uy URU,DF,Wolves,26,1998,28.4,0.14,0,1.02,0.39,0.07,0.21,0.95,1.06
75,Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,0.5,0,0,0,0,0,0,0,0
76,Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,0.4,2.5,0,2.5,0,0,5,2.5,0
77,Dan Burn,eng ENG,DF,Newcastle,33,1992,24.4,0.45,0.04,1.48,0.53,0.12,0.57,0.82,1.07
78,Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,0.2,0,0,0,5,0,15,0,0
79,Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,0,0,0,0,0,0,0,0,0
80,Sam Byram,eng ENG,DFMF,Leeds United,31,1993,0.1,0,0,10,0,10,0,0,10
81,Moises Caicedo,ec ECU,MF,Chelsea,23,2001,31.1,0.35,0.03,1.74,1.77,0,0.26,1.9,1.51
82,Tom Cairney,sct SCO,MF,Fulham,34,1991,8.6,0.35,0,1.16,1.28,0,0.7,0.47,0.47
83,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,18.9,0.26,0,1.38,0.53,0.21,1.11,0.69,1.01
