Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
224,Rico Henry,jm JAM,DF,Brentford,28,1997,14.8,0,5,0,0,0.34,0,0,,0,0
225,Mads Hermansen,dk DEN,GK,West Ham,25,2000,18,0,0,0,,0,0,,,0,0
226,Aaron Hickey,sct SCO,DFMF,Brentford,23,2002,7.7,0,6,1,16.7,0.78,0.13,0,0,0,0
227,James Hill,eng ENG,DF,Bournemouth,23,2002,23.4,0,12,2,16.7,0.51,0.09,0,0,0,0
228,Piero Hincapie,ec ECU,DF,Arsenal,23,2002,19.9,1,3,2,66.7,0.15,0.1,0.33,0.5,0,0
229,Jack Hinshelwood,eng ENG,MF,Brighton,20,2005,19.3,4,37,15,40.5,1.91,0.78,0.11,0.27,0,0
230,Ki-Jana Hoever,nl NED,MFDF,Wolves,23,2002,4.7,0,1,1,100,0.21,0.21,0,0,0,0
231,Harry Howell,eng ENG,MF,Brighton,17,2008,1,0,0,0,,0,0,,,0,0
232,Callum Hudson-Odoi,eng ENG,MF,Nottingham,24,2000,20.5,3,30,10,33.3,1.47,0.49,0.1,0.3,0,0
233,Will Hughes,eng ENG,MF,Crystal Palace,30,1995,17.5,0,17,0,0,0.97,0,0,,0,0
234,Trai Hume,nir NIR,DFMF,Sunderland,23,2002,33.7,2,34,7,20.6,1.01,0.21,0.06,0.29,0,0
235,Bashir Humphreys,eng ENG,DFMF,Burnley,22,2003,17.5,0,9,3,33.3,0.51,0.17,0,0,0,0
236,Omari Hutchinson,eng ENG,MF,Nottingham,21,2003,18.8,1,25,11,44,1.33,0.59,0.04,0.09,0,0
237,Igor,br BRA,DF,West Ham,27,1998,1.2,0,0,0,,0,0,,,0,0
238,Tim Iroegbunam,eng ENG,MF,Everton,22,2003,16.5,0,12,1,8.3,0.73,0.06,0,0,0,0
239,Andy Irving,sct SCO,MF,West Ham,25,2000,1.8,0,0,0,,0,0,,,0,0
240,Alexander Isak,se SWE,FW,Liverpool,25,1999,7.8,3,17,6,35.3,2.19,0.77,0.18,0.5,0,0
241,Wilson Isidor,ht HAI,FW,Sunderland,24,2000,12.9,6,43,17,39.5,3.32,1.31,0.14,0.35,0,0
242,Alex Iwobi,ng NGA,MF,Fulham,29,1996,26.9,4,39,15,38.5,1.45,0.56,0.1,0.27,0,0
243,Daniel James,wls WAL,FWMF,Leeds United,27,1997,6.2,0,14,3,21.4,2.25,0.48,0,0,0,0
244,Reece James,eng ENG,DFMF,Chelsea,25,1999,21.8,2,22,7,31.8,1.01,0.32,0.09,0.29,0,0
245,Vitaly Janelt,de GER,MF,Brentford,27,1998,16,1,12,3,25,0.75,0.19,0.08,0.33,0,0
246,Mathias Jensen,dk DEN,MF,Brentford,29,1996,25,3,29,8,27.6,1.16,0.32,0.1,0.38,0,0
247,Gabriel Jesus,br BRA,FW,Arsenal,28,1997,4.8,3,19,12,63.2,3.99,2.52,0.16,0.25,0,0
248,Igor Jesus,br BRA,FW,Nottingham,24,2001,25.5,6,70,21,30,2.74,0.82,0.09,0.29,1,1
249,Alex Jimenez,es ESP,DFMF,Bournemouth,20,2005,25.7,1,21,4,19,0.82,0.16,0.05,0.25,0,0
250,Raul Jimenez,mx MEX,FW,Fulham,34,1991,24.3,9,73,18,24.7,3,0.74,0.12,0.5,4,4
251,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,18,2006,0.1,0,0,0,,0,0,,,0,0
252,Joao Pedro,br BRA,FWMF,Chelsea,23,2001,29.6,15,73,28,38.4,2.47,0.95,0.21,0.54,0,0
253,Joelinton,br BRA,MF,Newcastle,28,1996,21.7,2,32,11,34.4,1.48,0.51,0.06,0.18,0,0
254,John,br BRA,GK,Nottingham,29,1996,4.9,0,0,0,,0,0,,,0,0
255,Brennan Johnson,wls WAL,MFFW,Tottenham,24,2001,6.8,2,6,2,33.3,0.89,0.3,0.33,1,0,0
256,Brennan Johnson,wls WAL,MFFW,Crystal Palace,24,2001,12.4,0,17,3,17.6,1.38,0.24,0,0,0,0
257,Sam Johnstone,eng ENG,GK,Wolves,32,1993,12,0,0,0,,0,0,,,0,0
258,Curtis Jones,eng ENG,MFDF,Liverpool,24,2001,21.5,1,22,7,31.8,1.02,0.33,0.05,0.14,0,0
259,Eli Junior Kroupi,fr FRA,MFFW,Bournemouth,19,2006,18.6,13,52,22,42.3,2.8,1.18,0.25,0.59,2,2
260,Hamed Junior Traore,ci CIV,MF,Bournemouth,25,2000,0.2,0,0,0,,0,0,,,0,0
261,James Justin,eng ENG,DFMF,Leeds United,27,1998,21.1,2,24,6,25,1.14,0.28,0.08,0.33,0,0
262,Filip Jorgensen,dk DEN,GK,Chelsea,23,2002,4.2,0,0,0,,0,0,,,0,0
263,Ferdi Kadioglu,tr TUR,DFMF,Brighton,25,1999,34.8,1,28,13,46.4,0.8,0.37,0.04,0.08,0,0
264,Sasa Kalajdzic,at AUT,FWMF,Wolves,28,1997,0.2,0,0,0,,0,0,,,0,0
265,Arnaud Kalimuendo,fr FRA,FW,Nottingham,23,2002,1.1,0,4,1,25,3.75,0.94,0,0,0,0
266,Daichi Kamada,jp JPN,MF,Crystal Palace,28,1996,21.1,0,19,4,21.1,0.9,0.19,0,0,0,0
267,Boubacar Kamara,fr FRA,MF,Aston Villa,25,1999,15.7,1,7,4,57.1,0.45,0.26,0.14,0.25,0,0
268,Mohamadou Kante,fr FRA,MF,West Ham,19,2005,0.8,0,2,0,0,2.4,0,0,,0,0
269,Michael Kayode,it ITA,DF,Brentford,21,2004,36.2,1,9,3,33.3,0.25,0.08,0.11,0.33,0,0
270,Michael Keane,eng ENG,DF,Everton,32,1993,28.8,3,27,7,25.9,0.94,0.24,0.11,0.43,0,0
271,Caoimhin Kelleher,ie IRL,GK,Brentford,26,1998,37,0,0,0,,0,0,,,0,0
272,Milos Kerkez,hu HUN,DF,Liverpool,21,2003,25.1,2,9,2,22.2,0.36,0.08,0.22,1,0,0
273,Kevin,br BRA,MF,Fulham,22,2003,11.6,1,25,10,40,2.16,0.86,0.04,0.1,0,0
274,Abdukodir Khusanov,uz UZB,DF,Manchester City,21,2004,15.9,0,7,1,14.3,0.44,0.06,0,0,0,0
275,Max Kilman,eng ENG,DF,West Ham,28,1997,17.3,0,7,1,14.3,0.4,0.06,0,0,0,0
276,Joshua King,eng ENG,MF,Fulham,18,2007,14.5,1,26,11,42.3,1.79,0.76,0.04,0.09,0,0
277,Antonin Kinsky,cz CZE,GK,Tottenham,22,2003,7,0,0,0,,0,0,,,0,0
278,Justin Kluivert,nl NED,MF,Bournemouth,26,1999,10.6,2,17,4,23.5,1.61,0.38,0.12,0.5,0,0
279,Joe Knight,eng ENG,MF,Brighton,19,2005,0,0,0,0,,0,0,,,0,0
280,Randal Kolo Muani,fr FRA,FWMF,Tottenham,26,1998,18.5,1,20,4,20,1.08,0.22,0.05,0.25,0,0
281,Ibrahima Konate,fr FRA,DF,Liverpool,26,1999,34.3,1,12,4,33.3,0.35,0.12,0.08,0.25,0,0
282,Ezri Konsa,eng ENG,DF,Aston Villa,27,1997,33.7,0,11,2,18.2,0.33,0.06,0,0,0,0
283,Charalampos Kostoulas,gr GRE,FW,Brighton,18,2007,4.1,2,21,8,38.1,5.12,1.95,0.1,0.25,0,0
284,Mateo Kovacic,hr CRO,MF,Manchester City,31,1994,1.4,0,2,0,0,1.38,0,0,,0,0
285,Emil Krafth,se SWE,DF,Newcastle,30,1994,0.5,0,0,0,,0,0,,,0,0
286,Ladislav Krejci,cz CZE,DFMF,Wolves,26,1999,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0
287,Mohammed Kudus,gh GHA,MFFW,Tottenham,24,2000,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,0,0
288,Jonah Kusi-Asare,se SWE,FW,Fulham,18,2007,0.6,0,0,0,,0,0,,,0,0
289,Shea Lacey,eng ENG,FW,Manchester Utd,18,2007,0.5,0,4,1,25,8.37,2.09,0,0,0,0
290,Maxence Lacroix,fr FRA,DF,Crystal Palace,25,2000,34.3,1,25,7,28,0.73,0.2,0.04,0.14,0,0
291,Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32,0,0,0,,0,0,,,0,0
292,Jamaal Lascelles,eng ENG,DF,Newcastle,31,1993,0.2,0,1,0,0,4.29,0,0,,0,0
293,Josh Laurent,eng ENG,DFMF,Burnley,30,1995,19.6,1,15,4,26.7,0.77,0.2,0.07,0.25,0,0
294,Romeo Lavia,be BEL,MF,Chelsea,21,2004,4.2,0,3,0,0,0.71,0,0,,0,0
295,Enzo Le Fee,fr FRA,MFFW,Sunderland,25,2000,32.6,5,36,12,33.3,1.11,0.37,0.14,0.42,3,4
296,Bernd Leno,de GER,GK,Fulham,33,1992,38,0,0,0,,0,0,,,0,0
297,Jefferson Lerma,co COL,MFDF,Crystal Palace,30,1994,19.3,0,19,7,36.8,0.99,0.36,0,0,0,0
298,Rico Lewis,eng ENG,DF,Manchester City,20,2004,4.5,0,3,0,0,0.66,0,0,,0,0
299,Keane Lewis-Potter,eng ENG,DFMF,Brentford,24,2001,21.9,3,31,9,29,1.41,0.41,0.1,0.33,0,0
300,Myles Lewis-Skelly,eng ENG,MFDF,Arsenal,18,2006,7.9,0,2,0,0,0.25,0,0,,0,0
301,Matthijs de Ligt,nl NED,DF,Manchester Utd,25,1999,13,1,11,3,27.3,0.85,0.23,0.09,0.33,0,0
302,Pedro Lima,br BRA,MF,Wolves,19,2006,2.9,0,4,1,25,1.38,0.35,0,0,0,0
303,Victor Lindelof,se SWE,DFMF,Aston Villa,31,1994,10.5,0,3,0,0,0.28,0,0,,0,0
304,Tino Livramento,eng ENG,DF,Newcastle,22,2002,14.8,0,3,0,0,0.2,0,0,,0,0
305,Sean Longstaff,eng ENG,MF,Leeds United,27,1997,11.2,2,16,4,25,1.42,0.36,0.13,0.5,0,0
306,Fer Lopez,es ESP,MF,Wolves,21,2004,2.6,0,5,1,20,1.91,0.38,0,0,0,0
307,Lucas,br BRA,MFDF,Burnley,24,2001,15.7,0,16,4,25,1.02,0.26,0,0,0,0
308,Lorenzo Lucca,it ITA,FW,Nottingham,24,2000,1.4,1,4,1,25,2.79,0.7,0.25,1,0,0
309,Florentino Luis,pt POR,MF,Burnley,25,1999,23.4,0,13,2,15.4,0.56,0.09,0,0,0,0
310,Douglas Luiz,br BRA,MF,Aston Villa,27,1998,6.7,1,6,4,66.7,0.89,0.6,0.17,0.25,0,0
311,Douglas Luiz,br BRA,MF,Nottingham,27,1998,3.5,0,5,1,20,1.43,0.29,0,0,0,0
312,Sasa Lukic,rs SRB,MF,Fulham,28,1996,19.3,1,18,6,33.3,0.93,0.31,0.06,0.17,0,0
313,Ian Maatsen,nl NED,DF,Aston Villa,23,2002,17.8,0,20,5,25,1.12,0.28,0,0,0,0
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26,1998,29.5,2,52,12,23.1,1.76,0.41,0.04,0.17,0,0
315,James Maddison,eng ENG,FWMF,Tottenham,28,1996,0.4,0,2,0,0,4.86,0,0,,0,0
316,Noni Madueke,eng ENG,FWMF,Arsenal,23,2002,13.5,3,25,9,36,1.86,0.67,0.12,0.33,0,0
317,Gabriel Magalhaes,br BRA,DF,Arsenal,27,1997,30.6,3,27,7,25.9,0.88,0.23,0.11,0.43,0,0
318,Soungoutou Magassa,fr FRA,MF,West Ham,21,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,0,0
319,Harry Maguire,eng ENG,DF,Manchester Utd,32,1993,18.4,1,14,4,28.6,0.76,0.22,0.07,0.25,0,0
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,2005,18.5,1,13,3,23.1,0.7,0.16,0.08,0.33,0,0
321,Tyrell Malacia,nl NED,DF,Manchester Utd,25,1999,0.2,0,0,0,,0,0,,,0,0
322,Donyell Malen,nl NED,FWMF,Aston Villa,26,1999,7.3,4,27,9,33.3,3.7,1.23,0.15,0.44,0,0
323,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,9.6,0,0,0,,0,0,,,0,0
324,Reinildo Mandava,mz MOZ,DF,Sunderland,31,1994,21.8,0,4,0,0,0.18,0,0,,0,0
325,Mateus Mane,pt POR,MF,Wolves,17,2007,19.9,3,41,17,41.5,2.06,0.85,0.07,0.18,0,0
326,Bendito Mantato,eng ENG,MF,Manchester Utd,17,2008,0.2,0,0,0,,0,0,,,0,0
327,Solly March,eng ENG,MF,Brighton,31,1994,0.5,0,1,1,100,2.2,2.2,0,0,0,0
328,Omar Marmoush,eg EGY,FWMF,Manchester City,26,1999,7.8,3,30,9,30,3.86,1.16,0.1,0.33,0,0
329,Callum Marshall,nir NIR,FW,West Ham,20,2004,0.7,0,1,0,0,1.5,0,0,,0,0
330,Gabriel Martinelli,br BRA,FWMF,Arsenal,24,2001,12,1,29,13,44.8,2.41,1.08,0.03,0.08,0,0
331,Emiliano Martinez,ar ARG,GK,Aston Villa,32,1992,31.5,0,0,0,,0,0,,,0,0
332,Lisandro Martinez,ar ARG,DF,Manchester Utd,27,1998,13.7,0,5,0,0,0.36,0,0,,0,0
333,Arthur Masuaku,cd COD,DF,Sunderland,31,1993,1.4,0,1,0,0,0.71,0,0,,0,0
334,Pape Matar Sarr,sn SEN,MF,Tottenham,22,2002,15.5,2,17,6,35.3,1.09,0.39,0.12,0.33,0,0
335,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28,1997,24.6,12,63,32,50.8,2.56,1.3,0.19,0.38,4,4
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,27,1997,28.2,3,23,8,34.8,0.82,0.28,0.13,0.38,0,0
337,Eliezer Mayenda,es ESP,FWMF,Sunderland,20,2005,8.4,2,13,6,46.2,1.54,0.71,0.15,0.33,0,0
338,Ezra Mayers,bb BRB,DF,West Ham,18,2007,1.3,0,1,0,0,0.77,0,0,,0,0
339,Noussair Mazraoui,ma MAR,DFMF,Manchester Utd,27,1997,10.9,0,5,0,0,0.46,0,0,,0,0
340,Bryan Mbeumo,cm CMR,MFFW,Manchester Utd,25,1999,29,11,73,32,43.8,2.52,1.1,0.15,0.34,0,0
341,James Mcatee,eng ENG,MF,Nottingham,22,2002,3.3,0,4,0,0,1.21,0,0,,0,0
342,John McGinn,sct SCO,MF,Aston Villa,30,1994,23.7,5,28,12,42.9,1.18,0.51,0.18,0.42,0,0
343,Dwight McNeil,eng ENG,MF,Everton,25,1999,13,0,24,5,20.8,1.85,0.39,0,0,0,0
344,Hannibal Mejbri,tn TUN,MF,Burnley,22,2003,13.7,1,19,5,26.3,1.39,0.37,0.05,0.2,0,0
345,Mikel Merino,es ESP,MFFW,Arsenal,29,1996,11.5,4,22,8,36.4,1.91,0.69,0.18,0.5,0,0
346,Shumaira Mheuka,eng ENG,FW,Chelsea,17,2007,0,0,0,0,,0,0,,,0,0
347,Antoni Milambo,nl NED,MF,Brentford,20,2005,0.5,0,0,0,,0,0,,,0,0
348,Nikola Milenkovic,rs SRB,DF,Nottingham,27,1997,37.5,0,16,1,6.3,0.43,0.03,0,0,0,0
349,Lewis Miley,eng ENG,MFDF,Newcastle,19,2006,16.6,1,12,4,33.3,0.72,0.24,0.08,0.25,0,0
350,James Milner,eng ENG,MF,Brighton,39,1986,8.7,1,8,2,25,0.92,0.23,0.13,0.5,1,1
351,Veljko Milosavljevic,rs SRB,DF,Bournemouth,18,2007,4.1,0,1,0,0,0.24,0,0,,0,0
352,Tyrone Mings,eng ENG,DF,Aston Villa,32,1993,14.7,0,9,1,11.1,0.61,0.07,0,0,0,0
353,Yankuba Minteh,gm GAM,MF,Brighton,21,2004,26.6,3,41,11,26.8,1.54,0.41,0.07,0.27,0,0
354,Tyrick Mitchell,eng ENG,MF,Crystal Palace,25,1999,36.1,1,19,7,36.8,0.53,0.19,0.05,0.14,0,0
355,Kaoru Mitoma,jp JPN,MFFW,Brighton,28,1997,19.1,3,32,13,40.6,1.67,0.68,0.09,0.23,0,0
356,Morato,br BRA,DF,Nottingham,24,2001,14.9,1,5,2,40,0.33,0.13,0.2,0.5,0,0
357,Cristhian Mosquera,es ESP,DF,Arsenal,21,2004,11,0,1,0,0,0.09,0,0,,0,0
358,Yerson Mosquera,co COL,DF,Wolves,24,2001,23.7,0,30,6,20,1.26,0.25,0,0,0,0
359,Mason Mount,eng ENG,MF,Manchester Utd,26,1999,11.3,3,19,5,26.3,1.68,0.44,0.16,0.6,0,0
360,Divine Mukasa,eng ENG,MF,Manchester City,17,2007,0.3,0,0,0,,0,0,,,0,0
361,Nordi Mukiele,fr FRA,DF,Sunderland,27,1997,30.9,3,26,4,15.4,0.84,0.13,0.12,0.75,0,0
362,Romaine Mundle,eng ENG,MF,Sunderland,22,2003,4.6,0,7,2,28.6,1.53,0.44,0,0,0,0
363,Marshall Munetsi,zw ZIM,MFFW,Wolves,29,1996,9.7,1,14,6,42.9,1.44,0.62,0.07,0.17,0,0
364,Rodrigo Muniz,br BRA,FW,Fulham,24,2001,11.1,1,32,5,15.6,2.88,0.45,0.03,0.2,0,0
365,Daniel Munoz,co COL,MF,Crystal Palace,29,1996,26.7,4,26,12,46.2,0.98,0.45,0.15,0.33,0,0
366,Murillo,br BRA,DF,Nottingham,23,2002,23.7,1,11,4,36.4,0.46,0.17,0.09,0.25,0,0
367,Alex Murphy,ie IRL,DF,Newcastle,21,2004,0.1,0,0,0,,0,0,,,0,0
368,Jacob Murphy,eng ENG,FWMF,Newcastle,30,1995,18,3,42,13,31,2.34,0.72,0.07,0.23,0,0
369,Vitaliy Mykolenko,ua UKR,DF,Everton,26,1999,32.9,0,9,2,22.2,0.27,0.06,0,0,0,0
370,David Moller Wolfe,no NOR,MFDF,Wolves,23,2002,11.7,0,3,0,0,0.26,0,0,,0,0
371,Iliman Ndiaye,sn SEN,MF,Everton,25,2000,30.9,6,43,22,51.2,1.39,0.71,0.14,0.27,2,2
372,Dan Ndoye,ch SUI,MF,Nottingham,24,2000,13,1,15,4,26.7,1.15,0.31,0.07,0.25,0,0
373,Sean Neave,eng ENG,FW,Newcastle,18,2007,0.2,0,1,0,0,6.43,0,0,,0,0
374,Dan Neil,eng ENG,MF,Sunderland,23,2001,0.2,0,0,0,,0,0,,,0,0
375,Reiss Nelson,eng ENG,FWMF,Brentford,25,1999,1.4,0,5,1,20,3.57,0.71,0,0,0,0
376,Pedro Neto,pt POR,MFFW,Chelsea,25,2000,29.2,5,46,13,28.3,1.57,0.44,0.11,0.38,0,0
377,Luca Netz,de GER,DFMF,Nottingham,22,2003,4,0,0,0,,0,0,,,0,0
378,Rio Ngumoha,eng ENG,MF,Liverpool,16,2008,6.2,2,16,6,37.5,2.57,0.96,0.13,0.33,0,0
379,Eddie Nketiah,eng ENG,MF,Crystal Palace,26,1999,4.7,2,15,6,40,3.18,1.27,0.13,0.33,0,0
380,Lukas Nmecha,de GER,FW,Leeds United,26,1998,12,6,30,16,53.3,2.49,1.33,0.2,0.38,2,3
381,Matheus Nunes,pt POR,DF,Manchester City,26,1998,31.8,1,7,2,28.6,0.22,0.06,0.14,0.5,0,0
382,Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,1.9,0,6,0,0,3.16,0,0,,0,0
383,Trey Nyoni,eng ENG,MF,Liverpool,18,2007,0.3,0,1,0,0,3.75,0,0,,0,0
384,Christian Norgaard,dk DEN,MF,Arsenal,31,1994,1.2,0,2,1,50,1.7,0.85,0,0,0,0
385,Jake O'Brien,ie IRL,DF,Everton,24,2001,34.7,1,13,6,46.2,0.37,0.17,0.08,0.17,0,0
386,Luke O'Nien,eng ENG,DF,Sunderland,30,1994,6.3,0,4,1,25,0.63,0.16,0,0,0,0
387,Nico O'Reilly,eng ENG,DFMF,Manchester City,20,2005,29.4,5,41,15,36.6,1.39,0.51,0.12,0.33,0,0
388,Matt O'Riley,dk DEN,MF,Brighton,24,2000,2.3,1,4,2,50,1.76,0.88,0.25,0.5,1,1
389,Wilson Odobert,fr FRA,MFFW,Tottenham,20,2004,10.9,0,21,8,38.1,1.92,0.73,0,0,0,0
390,Noah Okafor,ch SUI,FWMF,Leeds United,25,2000,17.3,8,35,15,42.9,2.02,0.86,0.23,0.53,0,0
391,Callum Olusesi,eng ENG,MF,Tottenham,18,2007,0.2,0,0,0,,0,0,,,0,0
392,Amadou Onana,be BEL,MF,Aston Villa,23,2001,19.5,2,19,7,36.8,0.97,0.36,0.11,0.29,0,0
393,Frank Onyeka,ng NGA,MF,Brentford,27,1998,1,0,0,0,,0,0,,,0,0
394,Nehemiah Oriola,eng ENG,MF,Brighton,18,2007,0,0,0,0,,0,0,,,0,0
395,Stefan Ortega,de GER,GK,Nottingham,32,1992,3,0,0,0,,0,0,,,0,0
396,William Osula,dk DEN,FW,Newcastle,21,2003,9.1,7,23,12,52.2,2.53,1.32,0.3,0.58,0,0
397,Dango Ouattara,bf BFA,MF,Brentford,23,2002,25.3,7,56,20,35.7,2.21,0.79,0.13,0.35,0,0
398,Pablo,br BRA,MFFW,West Ham,21,2004,9.1,0,12,3,25,1.31,0.33,0,0,0,0
399,Joao Palhinha,pt POR,MF,Tottenham,30,1995,24.4,5,33,9,27.3,1.35,0.37,0.15,0.56,0,0
400,Cole Palmer,eng ENG,MF,Chelsea,23,2002,21.7,10,64,25,39.1,2.95,1.15,0.16,0.4,5,6
401,Lucas Paqueta,br BRA,MFFW,West Ham,27,1997,16.8,4,23,11,47.8,1.37,0.66,0.17,0.36,2,2
402,Nathan Patterson,sct SCO,DF,Everton,23,2001,2.7,0,1,1,100,0.37,0.37,0,0,0,0
403,Myles Peart-Harris,eng ENG,MF,Brentford,22,2002,0,0,0,0,,0,0,,,0,0
404,Lucas Perri,br BRA,GK,Leeds United,27,1997,16,0,0,0,,0,0,,,0,0
405,Dorde Petrovic,rs SRB,GK,Bournemouth,25,1999,38,0,0,0,,0,0,,,0,0
406,Jordan Pickford,eng ENG,GK,Everton,31,1994,38,0,0,0,,0,0,,,0,0
407,Ethan Pinnock,jm JAM,DF,Brentford,32,1993,3.5,0,1,1,100,0.28,0.28,0,0,0,0
408,Yeremy Pino,es ESP,MFFW,Crystal Palace,22,2002,23.1,2,45,11,24.4,1.95,0.48,0.04,0.18,0,0
409,Joel Piroe,sr SUR,FW,Leeds United,25,1999,2.9,0,14,3,21.4,4.88,1.05,0,0,0,0
410,Nick Pope,eng ENG,GK,Newcastle,33,1992,26.8,0,1,1,100,0.04,0.04,0,0,0,0
411,Pedro Porro,es ESP,DF,Tottenham,25,1999,31.1,1,32,8,25,1.03,0.26,0.03,0.13,0,0
412,Freddie Potts,eng ENG,MF,West Ham,21,2003,13,0,3,1,33.3,0.23,0.08,0,0,0,0
413,Aaron Ramsdale,eng ENG,GK,Newcastle,27,1998,11.2,0,0,0,,0,0,,,0,0
414,Jacob Ramsey,eng ENG,MF,Newcastle,24,2001,16.1,2,16,4,25,0.99,0.25,0.13,0.5,0,0
415,David Raya,es ESP,GK,Arsenal,29,1995,37,0,0,0,,0,0,,,0,0
416,Rayan,br BRA,MF,Bournemouth,18,2006,12.3,5,28,8,28.6,2.27,0.65,0.18,0.63,0,0
417,Harrison Reed,eng ENG,MF,Fulham,30,1995,1,1,2,1,50,1.91,0.96,0.5,1,0,0
418,Tijjani Reijnders,nl NED,MF,Manchester City,27,1998,18.1,5,49,16,32.7,2.7,0.88,0.1,0.31,0,0
419,Chadi Riad,ma MAR,DF,Crystal Palace,22,2003,6.1,0,4,2,50,0.65,0.33,0,0,0,0
420,Declan Rice,eng ENG,MF,Arsenal,26,1999,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0
421,Chris Richards,us USA,DF,Crystal Palace,25,2000,31.4,1,15,2,13.3,0.48,0.06,0.07,0.5,0,0
422,Richarlison,br BRA,FWMF,Tottenham,28,1997,21.8,11,61,26,42.6,2.8,1.19,0.18,0.42,0,0
423,Chris Rigg,eng ENG,MF,Sunderland,18,2007,8.5,1,12,3,25,1.42,0.35,0.08,0.33,0,0
424,Patrick Roberts,eng ENG,FWMF,Sunderland,28,1997,0.3,0,1,0,0,3.21,0,0,,0,0
425,Andy Robertson,sct SCO,DF,Liverpool,31,1994,13.1,1,10,3,30,0.77,0.23,0.1,0.33,0,0
426,Antonee Robinson,us USA,DFMF,Fulham,27,1997,16.6,1,6,1,16.7,0.36,0.06,0.17,1,1,1
427,Kaden Rodney,eng ENG,DFMF,Crystal Palace,20,2004,0,0,0,0,,0,0,,,0,0
428,Joe Rodon,wls WAL,DF,Leeds United,27,1997,32.8,2,18,7,38.9,0.55,0.21,0.11,0.29,0,0
429,Rodri,es ESP,MF,Manchester City,29,1996,16.8,1,16,3,18.8,0.95,0.18,0.06,0.33,0,0
430,Guido Rodriguez,ar ARG,MF,West Ham,31,1994,2,0,1,0,0,0.5,0,0,,0,0
431,Robin Roefs,nl NED,GK,Sunderland,22,2003,35,0,0,0,,0,0,,,0,0
432,Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,36.4,10,84,32,38.1,2.3,0.88,0.12,0.31,0,0
433,Merlin Rohl,de GER,MF,Everton,23,2002,7.6,1,11,1,9.1,1.45,0.13,0.09,1,0,0
434,Cristian Romero,ar ARG,DF,Tottenham,27,1998,20.8,4,17,6,35.3,0.82,0.29,0.24,0.67,0,0
435,James Rowswell,eng ENG,DF,Tottenham,19,2006,0,0,0,0,,0,0,,,0,0
436,Georginio Rutter,fr FRA,MFFW,Brighton,23,2002,19.8,3,42,14,33.3,2.12,0.71,0.07,0.21,0,0
437,Jose Sa,pt POR,GK,Wolves,32,1993,23,0,0,0,,0,0,,,0,0
438,Noah Sadiki,cd COD,MF,Sunderland,20,2004,32.1,0,19,5,26.3,0.59,0.16,0,0,0,0
439,Bukayo Saka,eng ENG,FWMF,Arsenal,23,2001,24.7,7,71,27,38,2.88,1.09,0.1,0.26,1,1
440,Mohamed Salah,eg EGY,MF,Liverpool,33,1992,23.8,7,68,19,27.9,2.85,0.8,0.1,0.37,1,1
441,William Saliba,fr FRA,DF,Arsenal,24,2001,29,1,5,1,20,0.17,0.03,0.2,1,0,0
442,Robert S�nchez,es ESP,GK,Chelsea,27,1997,33.8,0,0,0,,0,0,,,0,0
443,Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,9.7,0,10,3,30,1.03,0.31,0,0,0,0
444,Ibrahim Sangar�,ci CIV,MF,Nottingham,27,1997,23.1,2,16,5,31.3,0.69,0.22,0.13,0.4,0,0
445,Andrey Santos,br BRA,MF,Chelsea,21,2004,14,1,11,2,18.2,0.79,0.14,0.09,0.5,0,0
446,Ismaila Sarr,sn SEN,MF,Crystal Palace,27,1998,24.2,9,48,21,43.8,1.99,0.87,0.19,0.43,3,3
447,Mamadou Sarr,sn SEN,DF,Chelsea,19,2005,1.1,0,1,0,0,0.88,0,0,,0,0
448,Savio,br BRA,MF,Manchester City,21,2004,9.3,1,20,11,55,2.16,1.19,0.05,0.09,0,0
449,Nicolo Savona,it ITA,DF,Nottingham,22,2003,11.4,2,5,3,60,0.44,0.26,0.4,0.67,0,0
450,Oliver Scarles,eng ENG,DFMF,West Ham,19,2005,7.3,0,3,0,0,0.41,0,0,,0,0
451,Dane Scarlett,eng ENG,FW,Tottenham,21,2004,0.1,0,0,0,,0,0,,,0,0
452,Kevin Schade,de GER,MFFW,Brentford,23,2001,30.5,8,57,24,42.1,1.87,0.79,0.14,0.33,0,1
453,Fabian Schar,ch SUI,DF,Newcastle,33,1991,12.1,0,17,4,23.5,1.4,0.33,0,0,0,0
454,Alex Scott,eng ENG,MF,Bournemouth,21,2003,31.7,3,44,13,29.5,1.39,0.41,0.07,0.23,0,0
455,Jenson Seelt,nl NED,DF,Sunderland,22,2003,1.5,0,0,0,,0,0,,,0,0
