Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
53,Lucas Bergvall,se SWE,MF,Tottenham,19,2006,10.7,1,12,5,41.7,1.12,0.47,0.08,0.2,0,0
54,Beto,gw GNB,FW,Everton,27,1998,17.4,9,43,17,39.5,2.47,0.98,0.21,0.53,0,0
55,Jaka Bijol,si SVN,DF,Leeds United,26,1999,21,1,15,6,40,0.71,0.29,0.07,0.17,0,0
56,Yves Bissouma,ml MLI,MF,Tottenham,28,1996,6.7,0,5,2,40,0.75,0.3,0,0,0,0
57,Marco Bizot,nl NED,GK,Aston Villa,34,1991,6.5,0,0,0,,0,0,,,0,0
58,Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,5.2,0,4,0,0,0.77,0,0,,0,0
59,Oscar Bobb,no NOR,MF,Fulham,22,2003,6.3,0,8,3,37.5,1.26,0.47,0,0,0,0
60,Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,11.7,0,0,0,,0,0,,,0,0
61,Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,31,1,18,4,22.2,0.58,0.13,0.06,0.25,0,0
62,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,4.8,0,1,0,0,0.21,0,0,,0,0
63,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,8.9,0,1,0,0,0.11,0,0,,0,0
64,Sven Botman,nl NED,DF,Newcastle,25,2000,20.4,1,15,4,26.7,0.74,0.2,0.07,0.25,0,0
65,Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,37.8,9,79,28,35.4,2.09,0.74,0.11,0.32,1,1
66,Conor Bradley,nir NIR,DF,Liverpool,22,2003,10.3,0,6,0,0,0.58,0,0,,0,0
67,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,7.6,1,6,2,33.3,0.79,0.26,0.17,0.5,0,0
68,Brian Brobbey,nl NED,FW,Sunderland,23,2002,21.4,7,36,18,50,1.68,0.84,0.19,0.39,0,0
69,Armando Broja,al ALB,FW,Burnley,23,2001,9.6,1,16,6,37.5,1.67,0.63,0.06,0.17,0,0
70,David Brooks,wls WAL,MF,Bournemouth,28,1997,13.4,1,48,13,27.1,3.59,0.97,0.02,0.08,0,0
71,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,11.4,0,17,4,23.5,1.49,0.35,0,0,0,0
72,Emi Buendia,ar ARG,MF,Aston Villa,28,1996,19.5,6,49,13,26.5,2.51,0.67,0.12,0.46,0,0
73,Hugo Bueno,es ESP,MFDF,Wolves,22,2002,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0
74,Santiago Bueno,uy URU,DF,Wolves,26,1998,28.4,3,10,7,70,0.35,0.25,0.3,0.43,0,0
75,Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,0.5,0,0,0,,0,0,,,0,0
76,Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,0.4,0,2,0,0,4.62,0,0,,0,0
77,Dan Burn,eng ENG,DF,Newcastle,33,1992,24.4,1,10,3,30,0.41,0.12,0.1,0.33,0,0
78,Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,0.2,0,0,0,,0,0,,,0,0
79,Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,0,0,0,0,,0,0,,,0,0
80,Sam Byram,eng ENG,DFMF,Leeds United,31,1993,0.1,0,0,0,,0,0,,,0,0
81,Moises Caicedo,ec ECU,MF,Chelsea,23,2001,31.1,3,27,7,25.9,0.87,0.23,0.11,0.43,0,0
82,Tom Cairney,sct SCO,MF,Fulham,34,1991,8.6,2,17,2,11.8,1.97,0.23,0.12,1,0,0
83,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,18.9,1,32,8,25,1.7,0.42,0.03,0.13,0,0
84,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,30.2,14,73,34,46.6,2.41,1.12,0.19,0.41,4,5
85,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,14.8,0,7,1,14.3,0.47,0.07,0,0,0,0
86,Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,0,1,0,0,1,0,0,,0,0
87,Fabio Carvalho,pt POR,MF,Brentford,22,2002,1.1,1,2,1,50,1.76,0.88,0.5,1,0,0
88,Casemiro,br BRA,MF,Manchester Utd,33,1992,28.6,9,52,18,34.6,1.82,0.63,0.17,0.5,0,0
89,Matty Cash,pl POL,DF,Aston Villa,27,1997,33.5,3,30,10,33.3,0.9,0.3,0.1,0.3,0,0
90,Timothy Castagne,be BEL,DFMF,Fulham,29,1995,20.5,0,14,6,42.9,0.68,0.29,0,0,0,0
91,Valentin Castellanos,ar ARG,FW,West Ham,26,1998,15.4,6,50,22,44,3.25,1.43,0.12,0.27,0,0
92,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,30.9,3,16,5,31.3,0.52,0.16,0.19,0.6,0,0
93,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,19.8,4,55,13,23.6,2.77,0.66,0.07,0.31,0,0
94,Federico Chiesa,it ITA,MF,Liverpool,27,1997,3.8,2,17,5,29.4,4.51,1.33,0.12,0.4,0,0
95,Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,0.3,0,0,0,,0,0,,,0,0
96,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,11,2,25,8,32,2.26,0.72,0.08,0.25,0,0
97,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,12,3,25,7,28,2.09,0.58,0.12,0.43,0,0
98,Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,3.6,0,1,0,0,0.28,0,0,,0,0
99,Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,34,1991,6.6,0,3,0,0,0.45,0,0,,0,0
100,Seamus Coleman,ie IRL,DF,Everton,36,1988,0.2,0,0,0,,0,0,,,0,0
101,Nathan Collins,ie IRL,DF,Brentford,24,2001,33.1,1,20,6,30,0.61,0.18,0.05,0.17,0,0
102,Levi Colwill,eng ENG,DF,Chelsea,22,2003,2.5,0,0,0,,0,0,,,0,0
103,Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,9.7,0,3,0,0,0.31,0,0,,0,0
104,Diego Coppola,it ITA,DF,Brighton,21,2003,2.2,0,0,0,,0,0,,,0,0
105,Marc Cucurella,es ESP,DF,Chelsea,27,1998,30.1,1,20,6,30,0.66,0.2,0.05,0.17,0,0
106,Jorge Cuenca,es ESP,DF,Fulham,25,1999,10.4,0,1,0,0,0.1,0,0,,0,0
107,Josh Cullen,ie IRL,MF,Burnley,29,1996,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0
108,Jair Cunha,br BRA,DF,Nottingham,20,2005,5.7,0,3,1,33.3,0.52,0.17,0,0,0,0
109,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,27.7,10,90,35,38.9,3.25,1.26,0.11,0.29,0,0
110,Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,29,1,24,6,25,0.83,0.21,0.04,0.17,0,0
111,Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,22.8,4,29,11,37.9,1.27,0.48,0.14,0.36,0,0
112,Kevin Danso,at AUT,DF,Tottenham,26,1998,16.6,0,11,2,18.2,0.66,0.12,0,0,0,0
113,Karl Darlow,wls WAL,GK,Leeds United,34,1990,22,0,0,0,,0,0,,,0,0
114,Josh Dasilva,eng ENG,MF,Brentford,26,1998,0,0,1,0,0,30,0,0,,0,0
115,Ben Davies,wls WAL,DF,Tottenham,32,1993,1.5,1,2,2,100,1.31,1.31,0.5,0.5,0,0
116,Maxim De Cuyper,be BEL,DFMF,Brighton,24,2000,15.7,2,13,6,46.2,0.83,0.38,0.15,0.33,0,0
117,Liam Delap,eng ENG,FW,Chelsea,22,2003,12.3,1,36,11,30.6,2.93,0.89,0.03,0.09,0,0
118,Sepp van den Berg,nl NED,DF,Brentford,23,2001,30.7,0,23,7,30.4,0.75,0.23,0,0,0,0
119,Jesse Derry,eng ENG,MF,Chelsea,18,2007,0.5,0,2,1,50,4.09,2.05,0,0,0,0
120,Justin Devenny,nir NIR,MFFW,Crystal Palace,21,2003,8.8,1,13,4,30.8,1.47,0.45,0.08,0.25,1,1
121,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,1998,29.2,8,39,15,38.5,1.34,0.51,0.21,0.53,0,0
122,Bafode Diakite,fr FRA,DF,Bournemouth,24,2001,14.2,0,1,0,0,0.07,0,0,,0,0
123,Amad Diallo,ci CIV,MF,Manchester Utd,23,2002,26,2,53,23,43.4,2.04,0.88,0.04,0.09,0,0
124,Habib Diarra,sn SEN,MF,Sunderland,21,2004,15.6,2,26,8,30.8,1.67,0.51,0.08,0.25,1,1
