Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Brian Brobbey,Sunderland,FW,1927,21.4,0.33,0.05,50.0,1.68,0.84,0.19,0.39,0.28,0.0,1.54,1.73,0.37,0.09,0.0,0.09,FW
David Brooks,Bournemouth,MF,1204,13.4,0.07,0.22,27.1,3.59,0.97,0.02,0.08,0.52,0.0,0.82,0.97,0.15,4.4,0.3,0.97,MF
Jacob Bruun Larsen,Burnley,MFFW,1030,11.4,0.0,0.09,23.5,1.49,0.35,0.0,0.0,0.0,0.0,0.09,0.0,0.35,3.68,0.53,0.26,MF
Emi Buendia,Aston Villa,MF,1755,19.5,0.31,0.1,26.5,2.51,0.67,0.12,0.46,0.31,0.0,2.1,2.31,0.05,0.51,0.67,1.38,MF
Hugo Bueno,Wolves,MFDF,2366,26.3,0.04,0.08,37.5,0.61,0.23,0.06,0.17,0.11,0.0,0.65,0.91,0.11,6.31,1.25,1.33,MF
Santiago Bueno,Wolves,DF,2553,28.4,0.11,0.04,70.0,0.35,0.25,0.3,0.43,0.14,0.0,1.02,0.39,0.07,0.21,0.95,1.06,DF
Dan Burn,Newcastle,DF,2199,24.4,0.04,0.08,30.0,0.41,0.12,0.1,0.33,0.45,0.04,1.48,0.53,0.12,0.57,0.82,1.07,DF
Moises Caicedo,Chelsea,MF,2795,31.1,0.1,0.03,25.9,0.87,0.23,0.11,0.43,0.35,0.03,1.74,1.77,0.0,0.26,1.9,1.51,MF
Riccardo Calafiori,Arsenal,DF,1699,18.9,0.05,0.11,25.0,1.7,0.42,0.03,0.13,0.26,0.0,1.38,0.53,0.21,1.11,0.69,1.01,DF
Dominic Calvert-Lewin,Leeds United,FW,2721,30.2,0.46,0.03,46.6,2.41,1.12,0.19,0.41,0.1,0.0,1.49,1.23,0.86,0.3,0.17,0.13,FW
Jaydee Canvot,Crystal Palace,DF,1336,14.8,0.0,0.0,14.3,0.47,0.07,0.0,0.0,0.2,0.0,0.81,0.47,0.0,0.34,0.81,1.49,DF
Casemiro,Manchester Utd,MF,2571,28.6,0.32,0.07,34.6,1.82,0.63,0.17,0.5,0.38,0.03,1.61,1.26,0.17,0.66,1.05,1.57,MF
Matty Cash,Aston Villa,DF,3014,33.5,0.09,0.09,33.3,0.9,0.3,0.1,0.3,0.27,0.0,1.25,0.9,0.12,3.91,0.72,0.96,DF
Timothy Castagne,Fulham,DFMF,1845,20.5,0.0,0.0,42.9,0.68,0.29,0.0,0.0,0.2,0.0,0.88,0.54,0.05,2.34,1.37,1.17,DF
