Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Brennan Johnson,Crystal Palace,MFFW,1112,12.4,0.0,0.08,17.6,1.38,0.24,0.0,0.0,0.32,0.0,1.45,0.89,0.48,3.63,0.16,0.56,MF
Sam Johnstone,Wolves,GK,1080,12.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,GK
Curtis Jones,Liverpool,MFDF,1937,21.5,0.05,0.09,31.8,1.02,0.33,0.05,0.14,0.09,0.0,0.79,1.35,0.0,0.74,0.84,1.07,MF
Eli Junior Kroupi,Bournemouth,MFFW,1672,18.6,0.7,0.0,42.3,2.8,1.18,0.25,0.59,0.27,0.0,1.45,0.65,0.32,0.54,0.48,0.32,MF
James Justin,Leeds United,DFMF,1901,21.1,0.09,0.05,25.0,1.14,0.28,0.08,0.33,0.19,0.0,0.62,1.47,0.09,1.8,1.23,1.8,DF
Ferdi Kadioglu,Brighton,DFMF,3133,34.8,0.03,0.0,46.4,0.8,0.37,0.04,0.08,0.17,0.0,0.63,1.03,0.2,3.13,0.72,1.12,DF
Daichi Kamada,Crystal Palace,MF,1902,21.1,0.0,0.0,21.1,0.9,0.19,0.0,0.0,0.14,0.0,1.42,1.33,0.05,1.99,0.66,1.66,MF
Boubacar Kamara,Aston Villa,MF,1411,15.7,0.06,0.19,57.1,0.45,0.26,0.14,0.25,0.32,0.0,1.02,1.91,0.0,0.13,0.96,1.02,MF
Michael Kayode,Brentford,DF,3258,36.2,0.03,0.03,33.3,0.25,0.08,0.11,0.33,0.22,0.0,0.72,1.38,0.03,1.55,1.08,1.3,DF
Michael Keane,Everton,DF,2591,28.8,0.1,0.03,25.9,0.94,0.24,0.11,0.43,0.03,0.03,0.56,0.21,0.0,0.03,1.28,0.83,DF
Caoimhin Kelleher,Brentford,GK,3330,37.0,0.0,0.0,,0.0,0.0,,,0.03,0.0,0.08,0.16,0.0,0.0,0.03,0.0,GK
Milos Kerkez,Liverpool,DF,2257,25.1,0.08,0.04,22.2,0.36,0.08,0.22,1.0,0.16,0.0,0.88,1.2,0.16,3.15,0.6,1.04,DF
Kevin,Fulham,MF,1041,11.6,0.09,0.09,40.0,2.16,0.86,0.04,0.1,0.09,0.0,1.21,1.47,0.26,3.71,0.78,0.86,MF
Abdukodir Khusanov,Manchester City,DF,1432,15.9,0.0,0.0,14.3,0.44,0.06,0.0,0.0,0.13,0.0,0.88,0.38,0.0,0.19,1.82,1.26,DF
Max Kilman,West Ham,DF,1561,17.3,0.0,0.0,14.3,0.4,0.06,0.0,0.0,0.23,0.0,0.92,0.12,0.0,0.12,0.35,0.46,DF
Joshua King,Fulham,MF,1308,14.5,0.07,0.14,42.3,1.79,0.76,0.04,0.09,0.28,0.0,0.9,2.07,0.21,0.83,0.21,0.83,MF
Justin Kluivert,Bournemouth,MF,952,10.6,0.19,0.0,23.5,1.61,0.38,0.12,0.5,0.47,0.0,1.7,0.94,0.09,3.77,0.38,0.66,MF
Randal Kolo Muani,Tottenham,FWMF,1664,18.5,0.05,0.05,20.0,1.08,0.22,0.05,0.25,0.16,0.0,2.22,0.92,0.16,0.97,0.11,0.86,FW
Ibrahima Konate,Liverpool,DF,3090,34.3,0.03,0.0,33.3,0.35,0.12,0.08,0.25,0.2,0.0,0.96,1.2,0.0,0.09,0.82,0.9,DF
Ezri Konsa,Aston Villa,DF,3035,33.7,0.0,0.0,18.2,0.33,0.06,0.0,0.0,0.0,0.03,0.33,1.25,0.0,0.15,0.65,0.24,DF
Ladislav Krejci,Wolves,DFMF,2356,26.2,0.08,0.04,47.6,0.8,0.38,0.1,0.2,0.19,0.04,1.26,0.27,0.0,0.65,1.22,0.8,DF
Mohammed Kudus,Tottenham,MFFW,1535,17.1,0.12,0.29,34.6,1.52,0.53,0.08,0.22,0.18,0.0,1.35,0.88,0.58,7.13,0.18,0.99,MF
Maxence Lacroix,Crystal Palace,DF,3085,34.3,0.03,0.06,28.0,0.73,0.2,0.04,0.14,0.12,0.03,0.99,0.55,0.0,0.15,1.31,1.11,DF
Senne Lammens,Manchester Utd,GK,2880,32.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.03,GK
Josh Laurent,Burnley,DFMF,1764,19.6,0.05,0.0,26.7,0.77,0.2,0.07,0.25,0.36,0.05,1.58,0.56,0.1,0.71,1.43,1.28,DF
Enzo Le Fee,Sunderland,MFFW,2930,32.6,0.15,0.18,33.3,1.11,0.37,0.14,0.42,0.15,0.0,0.95,1.13,0.12,3.01,0.86,1.72,MF
Bernd Leno,Fulham,GK,3420,38.0,0.0,0.0,,0.0,0.0,,,0.08,0.0,0.0,0.16,0.0,0.0,0.03,0.03,GK
Jefferson Lerma,Crystal Palace,MFDF,1733,19.3,0.0,0.1,36.8,0.99,0.36,0.0,0.0,0.36,0.0,1.3,1.24,0.0,0.62,1.3,0.93,MF
Keane Lewis-Potter,Brentford,DFMF,1972,21.9,0.14,0.14,29.0,1.41,0.41,0.1,0.33,0.05,0.0,0.68,1.64,0.14,3.15,0.46,0.64,DF
Matthijs de Ligt,Manchester Utd,DF,1170,13.0,0.08,0.0,27.3,0.85,0.23,0.09,0.33,0.0,0.0,0.46,0.38,0.0,0.31,0.85,1.0,DF
Victor Lindelof,Aston Villa,DFMF,948,10.5,0.0,0.09,0.0,0.28,0.0,0.0,,0.0,0.0,0.19,0.0,0.0,0.0,0.76,0.29,DF
Tino Livramento,Newcastle,DF,1328,14.8,0.0,0.07,0.0,0.2,0.0,0.0,,0.07,0.0,0.47,1.08,0.14,2.43,0.14,0.95,DF
Sean Longstaff,Leeds United,MF,1011,11.2,0.18,0.18,25.0,1.42,0.36,0.13,0.5,0.18,0.0,1.16,1.52,0.09,4.82,1.07,2.14,MF
Lucas,Burnley,MFDF,1409,15.7,0.0,0.0,25.0,1.02,0.26,0.0,0.0,0.06,0.06,0.96,0.25,0.32,3.57,1.21,1.4,MF
Florentino Luis,Burnley,MF,2105,23.4,0.0,0.09,15.4,0.56,0.09,0.0,0.0,0.26,0.0,1.71,0.34,0.04,0.47,1.71,2.09,MF
Sasa Lukic,Fulham,MF,1734,19.3,0.05,0.1,33.3,0.93,0.31,0.06,0.17,0.47,0.0,2.75,1.3,0.1,3.52,0.83,1.45,MF
Ian Maatsen,Aston Villa,DF,1605,17.8,0.0,0.06,25.0,1.12,0.28,0.0,0.0,0.11,0.0,0.96,1.07,0.06,3.03,1.01,1.74,DF
Alexis Mac Allister,Liverpool,MF,2658,29.5,0.07,0.14,23.1,1.76,0.41,0.04,0.17,0.24,0.0,1.19,1.08,0.0,0.68,0.61,0.92,MF
Noni Madueke,Arsenal,FWMF,1211,13.5,0.22,0.07,36.0,1.86,0.67,0.12,0.33,0.0,0.0,1.11,1.11,0.3,5.93,0.37,0.74,FW
Gabriel Magalhaes,Arsenal,DF,2751,30.6,0.1,0.13,25.9,0.88,0.23,0.11,0.43,0.13,0.0,0.69,1.11,0.0,0.2,0.72,0.65,DF
Soungoutou Magassa,West Ham,MF,981,10.9,0.09,0.0,28.6,0.64,0.18,0.14,0.5,0.37,0.0,1.56,1.56,0.0,0.83,1.56,2.11,MF
Harry Maguire,Manchester Utd,DF,1653,18.4,0.05,0.11,28.6,0.76,0.22,0.07,0.25,0.16,0.05,0.87,0.87,0.0,0.22,0.65,0.92,DF
Kobbie Mainoo,Manchester Utd,MF,1662,18.5,0.05,0.11,23.1,0.7,0.16,0.08,0.33,0.11,0.0,0.65,1.19,0.05,0.7,1.03,1.08,MF
Reinildo Mandava,Sunderland,DF,1966,21.8,0.0,0.05,0.0,0.18,0.0,0.0,,0.32,0.05,1.47,1.61,0.05,1.06,1.33,1.06,DF
Mateus Mane,Wolves,MF,1795,19.9,0.15,0.05,41.5,2.06,0.85,0.07,0.18,0.0,0.0,1.31,2.36,0.1,4.72,0.25,0.65,MF
Gabriel Martinelli,Arsenal,FWMF,1081,12.0,0.08,0.33,44.8,2.41,1.08,0.03,0.08,0.25,0.0,0.83,1.17,0.42,3.08,0.08,0.67,FW
Emiliano Martinez,Aston Villa,GK,2835,31.5,0.0,0.03,,0.0,0.0,,,0.06,0.0,0.0,0.54,0.0,0.0,0.0,0.0,GK
Lisandro Martinez,Manchester Utd,DF,1233,13.7,0.0,0.0,0.0,0.36,0.0,0.0,,0.0,0.07,0.66,0.15,0.0,0.15,0.88,0.8,DF
Pape Matar Sarr,Tottenham,MF,1398,15.5,0.13,0.26,35.3,1.09,0.39,0.12,0.33,0.19,0.0,1.87,0.84,0.19,0.52,0.9,1.35,MF
Jean-Philippe Mateta,Crystal Palace,FW,2218,24.6,0.49,0.0,50.8,2.56,1.3,0.19,0.38,0.08,0.0,0.85,0.77,0.73,0.45,0.24,0.16,FW
Konstantinos Mavropanos,West Ham,DF,2534,28.2,0.11,0.0,34.8,0.82,0.28,0.13,0.38,0.07,0.0,0.57,0.32,0.07,0.14,1.67,0.85,DF
Noussair Mazraoui,Manchester Utd,DFMF,985,10.9,0.0,0.0,0.0,0.46,0.0,0.0,,0.28,0.0,1.1,1.28,0.0,1.19,1.01,1.38,DF
Bryan Mbeumo,Manchester Utd,MFFW,2609,29.0,0.38,0.1,43.8,2.52,1.1,0.15,0.34,0.14,0.0,0.79,0.97,0.24,3.62,0.24,0.38,MF
John McGinn,Aston Villa,MF,2137,23.7,0.21,0.17,42.9,1.18,0.51,0.18,0.42,0.21,0.0,1.31,2.03,0.0,3.46,0.51,0.72,MF
Dwight McNeil,Everton,MF,1168,13.0,0.0,0.08,20.8,1.85,0.39,0.0,0.0,0.08,0.0,0.85,0.54,0.15,3.08,0.77,1.23,MF
Hannibal Mejbri,Burnley,MF,1229,13.7,0.07,0.29,26.3,1.39,0.37,0.05,0.2,0.73,0.0,1.68,3.36,0.22,2.19,0.51,1.24,MF
Mikel Merino,Arsenal,MFFW,1036,11.5,0.35,0.26,36.4,1.91,0.69,0.18,0.5,0.09,0.0,1.91,1.74,0.26,0.35,0.78,1.13,MF
Nikola Milenkovic,Nottingham,DF,3375,37.5,0.0,0.0,6.3,0.43,0.03,0.0,0.0,0.16,0.0,0.56,0.53,0.03,0.05,0.77,0.51,DF
Lewis Miley,Newcastle,MFDF,1496,16.6,0.06,0.24,33.3,0.72,0.24,0.08,0.25,0.0,0.0,0.3,0.24,0.12,2.53,1.2,1.08,MF
Tyrone Mings,Aston Villa,DF,1324,14.7,0.0,0.0,11.1,0.61,0.07,0.0,0.0,0.07,0.0,0.68,0.54,0.0,0.27,0.75,0.14,DF
Yankuba Minteh,Brighton,MF,2391,26.6,0.11,0.15,26.8,1.54,0.41,0.07,0.27,0.11,0.0,1.2,0.83,0.38,5.98,0.56,1.39,MF
Tyrick Mitchell,Crystal Palace,MF,3251,36.1,0.03,0.06,36.8,0.53,0.19,0.05,0.14,0.17,0.0,0.66,0.78,0.14,2.88,0.91,1.8,MF
Kaoru Mitoma,Brighton,MFFW,1721,19.1,0.16,0.05,40.6,1.67,0.68,0.09,0.23,0.26,0.0,1.62,1.1,0.21,2.41,0.42,0.63,MF
Morato,Nottingham,DF,1345,14.9,0.07,0.0,40.0,0.33,0.13,0.2,0.5,0.34,0.0,1.07,0.47,0.07,0.13,0.74,1.21,DF
Cristhian Mosquera,Arsenal,DF,994,11.0,0.0,0.0,0.0,0.09,0.0,0.0,,0.36,0.0,1.55,0.64,0.09,0.27,0.73,1.91,DF
Yerson Mosquera,Wolves,DF,2136,23.7,0.0,0.0,20.0,1.26,0.25,0.0,0.0,0.51,0.0,1.43,1.86,0.04,0.76,1.05,1.52,DF
Mason Mount,Manchester Utd,MF,1017,11.3,0.27,0.0,26.3,1.68,0.44,0.16,0.6,0.18,0.0,1.5,1.06,0.0,1.95,0.8,1.15,MF
Nordi Mukiele,Sunderland,DF,2784,30.9,0.1,0.1,15.4,0.84,0.13,0.12,0.75,0.16,0.0,1.13,0.84,0.1,2.75,1.2,1.46,DF
Rodrigo Muniz,Fulham,FW,1000,11.1,0.09,0.09,15.6,2.88,0.45,0.03,0.2,0.18,0.0,1.89,1.62,0.45,0.18,0.18,0.27,FW
Daniel Munoz,Crystal Palace,MF,2399,26.7,0.15,0.11,46.2,0.98,0.45,0.15,0.33,0.26,0.0,1.27,0.67,0.3,2.32,0.9,1.8,MF
Murillo,Nottingham,DF,2130,23.7,0.04,0.0,36.4,0.46,0.17,0.09,0.25,0.21,0.0,0.97,0.3,0.0,0.08,1.22,0.97,DF
Jacob Murphy,Newcastle,FWMF,1617,18.0,0.17,0.11,31.0,2.34,0.72,0.07,0.23,0.11,0.0,0.5,0.72,0.28,6.94,0.33,0.67,FW
Vitaliy Mykolenko,Everton,DF,2958,32.9,0.0,0.03,22.2,0.27,0.06,0.0,0.0,0.18,0.0,0.88,0.85,0.0,2.83,0.82,0.76,DF
David Moller Wolfe,Wolves,MFDF,1049,11.7,0.0,0.17,0.0,0.26,0.0,0.0,,0.09,0.0,0.85,0.34,0.0,2.74,0.6,0.43,MF
Iliman Ndiaye,Everton,MF,2778,30.9,0.19,0.1,51.2,1.39,0.71,0.14,0.27,0.06,0.0,0.97,1.2,0.39,1.78,0.55,1.29,MF
Dan Ndoye,Nottingham,MF,1173,13.0,0.08,0.08,26.7,1.15,0.31,0.07,0.25,0.08,0.0,1.23,1.69,0.69,3.15,0.77,0.85,MF
Pedro Neto,Chelsea,MFFW,2631,29.2,0.17,0.21,28.3,1.57,0.44,0.11,0.38,0.14,0.03,0.58,0.86,0.21,6.3,0.21,0.38,MF
Lukas Nmecha,Leeds United,FW,1083,12.0,0.5,0.08,53.3,2.49,1.33,0.2,0.38,0.0,0.0,1.5,1.5,0.25,0.83,0.25,0.58,FW
Matheus Nunes,Manchester City,DF,2862,31.8,0.03,0.16,28.6,0.22,0.06,0.14,0.5,0.16,0.0,0.53,0.94,0.13,2.11,0.91,1.29,DF
Jake O'Brien,Everton,DF,3120,34.7,0.03,0.03,46.2,0.37,0.17,0.08,0.17,0.17,0.03,0.66,0.49,0.12,1.41,0.37,0.92,DF
Nico O'Reilly,Manchester City,DFMF,2646,29.4,0.17,0.1,36.6,1.39,0.51,0.12,0.33,0.17,0.0,1.53,0.61,0.03,1.29,0.68,1.22,DF
Wilson Odobert,Tottenham,MFFW,985,10.9,0.0,0.18,38.1,1.92,0.73,0.0,0.0,0.0,0.0,0.18,0.92,0.18,2.57,0.0,0.73,MF
Noah Okafor,Leeds United,FWMF,1561,17.3,0.46,0.06,42.9,2.02,0.86,0.23,0.53,0.17,0.0,1.04,0.81,0.0,2.08,0.69,0.87,FW
Amadou Onana,Aston Villa,MF,1758,19.5,0.1,0.0,36.8,0.97,0.36,0.11,0.29,0.15,0.0,1.03,1.28,0.0,0.0,0.97,1.54,MF
Dango Ouattara,Brentford,MF,2276,25.3,0.28,0.12,35.7,2.21,0.79,0.13,0.35,0.2,0.0,1.07,1.54,0.32,4.23,0.95,0.55,MF
Joao Palhinha,Tottenham,MF,2198,24.4,0.2,0.08,27.3,1.35,0.37,0.15,0.56,0.33,0.0,1.15,1.48,0.0,0.16,1.15,2.5,MF
Cole Palmer,Chelsea,MF,1955,21.7,0.46,0.05,39.1,2.95,1.15,0.16,0.4,0.23,0.0,0.6,1.71,0.09,1.61,0.6,0.55,MF
Lucas Paqueta,West Ham,MFFW,1511,16.8,0.24,0.06,47.8,1.37,0.66,0.17,0.36,0.42,0.06,1.61,1.79,0.3,2.14,0.42,1.31,MF
Lucas Perri,Leeds United,GK,1440,16.0,0.0,0.0,,0.0,0.0,,,0.13,0.0,0.06,0.19,0.0,0.0,0.0,0.0,GK
Dorde Petrovic,Bournemouth,GK,3420,38.0,0.0,0.0,,0.0,0.0,,,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.0,GK
Jordan Pickford,Everton,GK,3420,38.0,0.0,0.0,,0.0,0.0,,,0.11,0.0,0.03,0.16,0.0,0.0,0.0,0.03,GK
Yeremy Pino,Crystal Palace,MFFW,2080,23.1,0.09,0.09,24.4,1.95,0.48,0.04,0.18,0.17,0.0,1.3,1.04,0.43,3.42,0.35,0.87,MF
Nick Pope,Newcastle,GK,2416,26.8,0.0,0.0,100.0,0.04,0.04,0.0,0.0,0.07,0.0,0.04,0.07,0.0,0.0,0.0,0.04,GK
Pedro Porro,Tottenham,DF,2796,31.1,0.03,0.06,25.0,1.03,0.26,0.03,0.13,0.32,0.0,1.03,0.84,0.03,7.46,1.0,1.61,DF
Freddie Potts,West Ham,MF,1171,13.0,0.0,0.08,33.3,0.23,0.08,0.0,0.0,0.08,0.0,1.15,1.08,0.0,2.62,1.23,1.38,MF
Aaron Ramsdale,Newcastle,GK,1004,11.2,0.0,0.0,,0.0,0.0,,,0.18,0.0,0.0,0.09,0.0,0.0,0.0,0.0,GK
Jacob Ramsey,Newcastle,MF,1450,16.1,0.12,0.19,25.0,0.99,0.25,0.13,0.5,0.31,0.06,0.99,0.87,0.12,0.5,0.56,1.3,MF
David Raya,Arsenal,GK,3330,37.0,0.0,0.0,,0.0,0.0,,,0.03,0.0,0.0,0.38,0.0,0.03,0.03,0.03,GK
Rayan,Bournemouth,MF,1111,12.3,0.41,0.16,28.6,2.27,0.65,0.18,0.63,0.08,0.0,0.73,0.49,0.08,1.95,0.65,0.49,MF
Tijjani Reijnders,Manchester City,MF,1631,18.1,0.28,0.11,32.7,2.7,0.88,0.1,0.31,0.11,0.0,1.05,0.83,0.22,2.38,0.61,0.22,MF
Declan Rice,Arsenal,MF,3094,34.4,0.12,0.15,32.5,1.16,0.38,0.1,0.31,0.09,0.0,0.76,0.32,0.03,5.15,0.96,0.96,MF
Chris Richards,Crystal Palace,DF,2827,31.4,0.03,0.0,13.3,0.48,0.06,0.07,0.5,0.13,0.0,0.54,0.16,0.0,0.45,1.37,1.11,DF
Richarlison,Tottenham,FWMF,1964,21.8,0.5,0.18,42.6,2.8,1.19,0.18,0.42,0.23,0.0,1.06,1.51,0.46,0.83,0.32,0.73,FW
Andy Robertson,Liverpool,DF,1176,13.1,0.08,0.0,30.0,0.77,0.23,0.1,0.33,0.0,0.0,0.31,0.08,0.38,4.05,0.53,0.76,DF
Antonee Robinson,Fulham,DFMF,1492,16.6,0.06,0.0,16.7,0.36,0.06,0.17,1.0,0.3,0.0,0.9,0.54,0.12,4.64,1.69,1.87,DF
Joe Rodon,Leeds United,DF,2951,32.8,0.06,0.0,38.9,0.55,0.21,0.11,0.29,0.09,0.0,0.52,0.58,0.03,0.18,0.91,0.58,DF
Rodri,Manchester City,MF,1511,16.8,0.06,0.0,18.8,0.95,0.18,0.06,0.33,0.18,0.0,0.83,1.85,0.0,0.3,0.71,1.49,MF
Robin Roefs,Sunderland,GK,3150,35.0,0.0,0.0,,0.0,0.0,,,0.11,0.0,0.0,0.4,0.0,0.0,0.0,0.0,GK
Morgan Rogers,Aston Villa,MF,3280,36.4,0.27,0.16,38.1,2.3,0.88,0.12,0.31,0.19,0.0,1.26,1.35,0.08,1.4,0.36,0.63,MF
Cristian Romero,Tottenham,DF,1868,20.8,0.19,0.05,35.3,0.82,0.29,0.24,0.67,0.53,0.1,1.54,0.77,0.05,0.05,1.49,1.44,DF
Georginio Rutter,Brighton,MFFW,1786,19.8,0.15,0.15,33.3,2.12,0.71,0.07,0.21,0.1,0.0,1.52,1.72,0.56,1.01,0.56,0.96,MF
Jose Sa,Wolves,GK,2070,23.0,0.0,0.0,,0.0,0.0,,,0.09,0.0,0.0,0.26,0.0,0.0,0.0,0.0,GK
Noah Sadiki,Sunderland,MF,2889,32.1,0.0,0.03,26.3,0.59,0.16,0.0,0.0,0.28,0.0,0.97,1.25,0.06,0.65,1.03,0.81,MF
Bukayo Saka,Arsenal,FWMF,2222,24.7,0.28,0.2,38.0,2.88,1.09,0.1,0.26,0.08,0.0,1.34,2.19,0.57,4.94,0.65,0.77,FW
Mohamed Salah,Liverpool,MF,2146,23.8,0.29,0.29,27.9,2.85,0.8,0.1,0.37,0.04,0.0,0.42,0.67,0.59,4.92,0.13,0.5,MF
William Saliba,Arsenal,DF,2614,29.0,0.03,0.0,20.0,0.17,0.03,0.2,1.0,0.07,0.0,0.76,0.55,0.03,0.31,0.52,0.79,DF
Robert S�nchez,Chelsea,GK,3039,33.8,0.0,0.03,,0.0,0.0,,,0.09,0.03,0.06,0.38,0.0,0.0,0.03,0.0,GK
Ibrahim Sangar�,Nottingham,MF,2075,23.1,0.09,0.09,31.3,0.69,0.22,0.13,0.4,0.22,0.0,1.82,0.78,0.0,0.35,0.95,1.39,MF
Andrey Santos,Chelsea,MF,1260,14.0,0.07,0.0,18.2,0.79,0.14,0.09,0.5,0.29,0.0,0.93,1.57,0.07,0.14,1.29,1.5,MF
Ismaila Sarr,Crystal Palace,MF,2174,24.2,0.37,0.04,43.8,1.99,0.87,0.19,0.43,0.08,0.0,0.5,1.74,0.58,0.99,0.29,0.37,MF
Nicolo Savona,Nottingham,DF,1028,11.4,0.18,0.0,60.0,0.44,0.26,0.4,0.67,0.18,0.0,1.05,0.44,0.09,2.37,0.44,1.05,DF
Kevin Schade,Brentford,MFFW,2745,30.5,0.26,0.1,42.1,1.87,0.79,0.14,0.33,0.2,0.03,1.64,1.41,0.33,0.75,0.62,0.89,MF
Fabian Schar,Newcastle,DF,1091,12.1,0.0,0.0,23.5,1.4,0.33,0.0,0.0,0.08,0.0,1.24,0.58,0.08,0.33,1.32,0.74,DF
Alex Scott,Bournemouth,MF,2849,31.7,0.09,0.03,29.5,1.39,0.41,0.07,0.23,0.16,0.0,1.42,1.89,0.03,2.78,1.1,1.2,MF
Matz Sels,Nottingham,GK,2668,29.6,0.0,0.0,,0.0,0.0,,,0.07,0.0,0.0,0.14,0.0,0.0,0.0,0.03,GK
Antoine Semenyo,Manchester City,MFFW,1397,15.5,0.45,0.06,41.2,2.19,0.9,0.21,0.5,0.06,0.0,1.1,0.45,0.45,1.35,0.39,0.71,MF
Antoine Semenyo,Bournemouth,MF,1798,20.0,0.5,0.15,55.1,2.45,1.35,0.2,0.37,0.3,0.0,1.85,0.7,0.6,1.4,0.3,1.0,MF
Marcos Senesi,Bournemouth,DF,3288,36.5,0.0,0.14,29.4,0.47,0.14,0.0,0.0,0.22,0.0,0.96,1.01,0.03,0.77,1.37,0.93,DF
Benjamin Sesko,Manchester Utd,FW,1643,18.3,0.6,0.05,55.7,3.34,1.86,0.18,0.32,0.11,0.0,0.93,0.33,0.38,0.11,0.16,0.16,FW
Ryan Sessegnon,Fulham,DFMF,1823,20.3,0.15,0.05,25.0,0.79,0.2,0.19,0.75,0.0,0.0,1.63,0.15,0.2,2.71,1.13,1.43,DF
Luke Shaw,Manchester Utd,DF,3219,35.8,0.03,0.03,30.0,0.28,0.08,0.1,0.33,0.25,0.0,1.34,0.56,0.0,1.51,1.2,1.26,DF
Bernardo Silva,Manchester City,MF,2872,31.9,0.06,0.13,23.3,0.94,0.22,0.07,0.29,0.31,0.0,1.13,0.69,0.16,2.26,0.66,0.88,MF
Xavi Simons,Tottenham,MFFW,1755,19.5,0.1,0.26,23.8,2.15,0.51,0.05,0.2,0.26,0.05,1.08,2.26,0.0,2.62,0.77,1.03,MF
Adam Smith,Bournemouth,DF,1077,12.0,0.0,0.17,,0.0,0.0,,,0.25,0.0,1.58,0.92,0.0,1.08,0.83,1.0,DF
Emile Smith Rowe,Fulham,MF,1923,21.4,0.14,0.0,30.6,1.68,0.51,0.08,0.27,0.05,0.0,0.47,0.79,0.14,0.61,1.03,1.03,MF
Dominic Solanke,Tottenham,FW,1001,11.1,0.27,0.0,55.0,1.8,0.99,0.15,0.27,0.09,0.0,1.08,0.81,0.27,0.18,0.27,1.44,FW
Tomas Soucek,West Ham,MF,2200,24.4,0.2,0.0,53.8,1.06,0.57,0.19,0.36,0.12,0.04,1.52,0.9,0.2,0.57,0.66,0.94,MF
Djed Spence,Tottenham,DFMF,2056,22.8,0.0,0.0,61.5,0.57,0.35,0.0,0.0,0.18,0.0,1.23,0.92,0.18,2.15,0.66,1.1,DF
Anton Stach,Leeds United,MF,2370,26.3,0.19,0.11,25.5,2.09,0.53,0.09,0.36,0.11,0.0,1.37,0.91,0.0,5.89,0.72,1.33,MF
Jorgen Strand Larsen,Wolves,FW,1404,15.6,0.06,0.06,33.3,1.35,0.45,0.05,0.14,0.13,0.0,1.92,0.71,0.58,0.19,0.19,0.13,FW
Jorgen Strand Larsen,Crystal Palace,FW,903,10.0,0.3,0.0,30.4,2.29,0.7,0.13,0.43,0.2,0.0,2.1,1.0,0.1,0.0,0.1,0.0,FW
Pascal Struijk,Leeds United,DF,2936,32.6,0.0,0.03,16.1,0.95,0.15,0.0,0.0,0.15,0.0,0.83,0.67,0.15,0.06,0.98,0.67,DF
Crysencio Summerville,West Ham,MFFW,2470,27.4,0.18,0.07,27.8,1.97,0.55,0.09,0.33,0.22,0.0,1.79,2.45,0.22,2.15,0.55,0.95,MF
Dominik Szoboszlai,Liverpool,MFDF,3231,35.9,0.17,0.19,32.4,1.98,0.64,0.08,0.26,0.22,0.03,1.17,0.84,0.06,5.74,0.81,0.89,MF
Chemsdine Talbi,Sunderland,MFFW,1561,17.3,0.23,0.06,40.0,1.44,0.58,0.16,0.4,0.0,0.0,0.29,0.06,0.12,2.89,0.17,0.35,MF
Ao Tanaka,Leeds United,MF,1315,14.6,0.14,0.0,29.4,1.16,0.34,0.12,0.4,0.07,0.0,0.89,0.68,0.0,2.67,1.44,1.03,MF
James Tarkowski,Everton,DF,3330,37.0,0.05,0.08,50.0,0.54,0.27,0.1,0.2,0.22,0.0,0.86,0.95,0.05,0.19,0.78,0.81,DF
Marcus Tavernier,Bournemouth,MF,2731,30.3,0.23,0.13,34.3,2.31,0.79,0.1,0.29,0.2,0.0,1.02,1.16,0.13,3.76,0.53,0.69,MF
Loum Tchaouna,Burnley,MFFW,1272,14.1,0.14,0.07,39.1,1.63,0.64,0.09,0.22,0.14,0.0,0.85,1.13,0.07,2.41,0.14,0.64,MF
Jackson Tchatchoua,Wolves,MFDF,1845,20.5,0.0,0.05,33.3,0.15,0.05,0.0,0.0,0.15,0.0,0.39,0.44,0.1,4.39,0.68,0.73,MF
Mathys Tel,Tottenham,MFFW,1349,15.0,0.27,0.07,22.9,2.34,0.53,0.11,0.5,0.07,0.0,1.27,1.53,0.2,6.13,0.33,0.8,MF
Kenny Tete,Fulham,DF,1791,19.9,0.05,0.0,18.8,0.8,0.15,0.06,0.33,0.1,0.0,1.36,1.56,0.05,1.71,1.31,1.91,DF
Igor Thiago,Brentford,FW,3282,36.5,0.6,0.03,51.2,2.3,1.18,0.26,0.51,0.19,0.0,2.03,0.71,0.66,0.52,0.33,0.58,FW
Malick Thiaw,Newcastle,DF,2965,32.9,0.12,0.0,50.0,0.85,0.42,0.14,0.29,0.12,0.0,0.73,0.33,0.06,0.27,0.91,1.03,DF
Youri Tielemans,Aston Villa,MF,1862,20.7,0.0,0.19,29.2,1.16,0.34,0.0,0.0,0.0,0.0,1.21,1.93,0.05,2.17,0.77,1.88,MF
Jurrien Timber,Arsenal,DF,2454,27.3,0.11,0.18,28.0,0.92,0.26,0.12,0.43,0.18,0.0,1.39,1.06,0.0,1.68,0.88,1.28,DF
Jean-Clair Todibo,West Ham,DF,1814,20.2,0.0,0.05,0.0,0.1,0.0,0.0,,0.25,0.05,0.45,0.15,0.05,0.1,0.79,1.19,DF
Sandro Tonali,Newcastle,MF,2534,28.2,0.0,0.07,21.6,1.31,0.28,0.0,0.0,0.14,0.0,0.85,1.49,0.04,3.37,0.99,0.89,MF
